"Source:","http://www.lib.berkeley.edu/MRC/Sovietfilm.html"
"

Contents:
"
"â€¢149; Ѭ href=""#soviet"">Russia (Soviet Union)Ж","â€¢149; Ѭ href=""#russia"">Russian Silent FilmЖ","â€¢149; Ѭ href=""#czech"">CzechoslovakiaЖ","â€¢149; Ѭ href=""#hungary"">HungaryЖ","â€¢149; Ѭ href=""#poland"">PolandЖ","â€¢149; Ѭ href=""#romania"">RomaniaЖ","â€¢149; Ѭ href=""#yugo"">Yugoslavia/Serbia/Croatia/MacedoniaЖ"
"October (Oktyabr) SEE Ѭ href=""#tendays"">Ten Days That Shook the WorldЖ","Salt for Svanetia (Sol Svanetij) (1930)","Directed by Mikhail Kalatozov. An ethnographic treasure that documents the harsh conditions of life in the isolated mountain village of Ushkul. As the focus of the film shifts to the Svan's barbaric religious customs the film is transformed into a work of Communist propaganda, holding up these grotesque, near-pagan ceremonies (which many Svanetians later denied as accurate) as an example of religion's corruptive influence. 53 min. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X6866"">DVD X6866Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVHS+999:1688"">VHS 999:1688Ж"
"The Second Circle (Krug Vtoroj) (1990)","Directed by Aleksandr Sokurov. A young man travels to a frigid Siberian town and tries to come to terms with his father's death and to deal with the mundane details of his burial in a society cut off from spiritual values. 92 min. 999:2241","â€¢149;Ѭ href=""http://us.imdb.com/Title?0100563"">Credits and other information from the Internet Movie DatabaseЖ


Reviews and articles:
â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/sovietfilmbib.html#sokurov"">Aleksandr Sokurov bibliographyЖ

"
"Soviet Toys (1923)","Directed by Dziga Vertov. Soviet, silent animation ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:1184"">vhs 999:1184Ж"
"Storm Over Asia (Potomok Chingis-Khana) (1928)","Directed by Vsevolod Pudovkin. Revolutionary drama centered on a young Mongol thought to be descended from Genghis Khan whom imperialists seek to use to further their expansionist interests. After a series of misadventures the young man rebels and leads his people against their oppressors. 125 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+58"">DVD 58Ж","â€¢149;Ѭ href=""http://us.imdb.com/Title?0019286"">Credits and other information from the Internet Movie DatabaseЖ


See also:
â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/sovietfilmbib.html#pudovkin"">Pudovkin bibliographyЖ

"
"Strike (Stachka) (1924)","Directed by Sergei Eisenstein. Performed by the First Workers' Theatre of Proletkult: Grigorii Aleksandrov, Maksim Shtraukh, Mikhail Gomorov, Y. Glizer, Ivan Kliukvin, Aleksandr Antonov. The first full-length feature project of pantheon Russian filmmaker Sergei Eisenstein, Strike is a government-commissioned celebration of the unrealized 1905 Bolshevik revolution. The story is set in motion by a series of outrages and humiliations perpetrated on the workers of a metalworks plant. The Czarist regime is unsympathetic to the workers, characteristically helping the plant owners to subjugate the hapless victims. Finally, the workers revolt, staging an all-out strike. Here is where Eisenstein's theory of ""the montage of shocks"" was given its first major workout. While the notion of juxtaposing short, separate images to heighten tension and excitement was not new, Eisenstein was the first to fully understand the value of using sudden-shock images (a bloody face, a fired weapon, a descending club) to make his dramatic and sociological points. Playing to mixed reviews and small audiences in Russia, Strike proved a success worldwide, assuring Eisenstein complete creative freedom on his next project, the immortal Potemkin. (Hal Erickson, Ѭ href=""http://allmovie.com"">All-Movie GuideЖ). Special features on : Glumov's diary (original title: Dnevnik Glumova): Sergei Eisenstein's first film, a short made to be used in his stage production of Alexander Ostrovsky's ""Enough stupidity in every wise man"" (1923; 5 min.); ""Eisentein and the revolutionary spirit"": film historian Natacha Laurent discusses Eisenstein's work in the context of the Communist Revolution and contemporary Soviet filmmaking (2008; 37 min.). 80 min.  (restored); ;  (94 min., digitally mastered); ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X6404"">DVD X6404Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X6404"">DVD X6404Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+353"">DVD 353Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVHS+999:2100"">VHS 999:2100Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVHS+999:695"">VHS 999:695Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0015361/"">Credits and other information from the Internet Movie DatabaseЖ

â€¢149;Ѭ href=""http://www.cinema.mosfilm.ru/Film.aspx?id=57a7ef7a-4551-4d79-a74b-47a9de55bf96"">View this video onlineЖ
Ѭ href=""http://www.lib.berkeley.edu/MRC/sovietfilmbib.html#strike"">See separate bibliography of reviews and articles about this filmЖ"
"Ten Days that Shook the WorldЖ (October = Oktiabr) (1928)","Directed by Sergei Eisenstein. Borrowing its title from a book by American communist John Reed (of Reds fame), Sergei Eisenstein's Ten Days That Shook the World reenacts the crucial week-and-a-half in October, 1918, when the Russian Kerensky regime was toppled by the Bolsheviks. While Eisenstein takes certain liberties in characterization--those opposing the Bolsheviks are depicted as mental defectives or grossly overweight clowns--his re-creation of such events as the storming of the Winter Palace are painstakingly meticulous. The ""actor"" playing Lenin, a nonprofessional worker named Nikandrov, so closely resembles the genuine article that the effect is positively eerie. So authentic is Eisenstein's reconstruction of events that, for years, TV documentaries have been passing off clips from Ten Days That Shook the World as ""actual"" scenes of the Revolution. While impressive on a technical level, the film never truly stirs the audience's emotions; Eisenstein purists have argued that this ""alienation"" technique was the director's intention all along, forcing the viewer to observe the events intellectually rather than emotionally. Produced in celebration of the tenth anniversary of the October Revolution, Ten Days That Shook the World was initially titled October. (Hal Erickson, Ѭ href=""http://allmovie.com"">All-Movie GuideЖ) 120 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+22"">DVD 22Ж","â€¢149;Ѭ href=""http://us.imdb.com/Title?Oktyabr+(1927)"">Credits and other information from the Internet Movie DatabaseЖ


â€¢149;Ѭ href=""http://www.cinema.mosfilm.ru/Film.aspx?id=266e1b59-4548-43c4-9e36-ec3c42ff9c08"">View this video onlineЖ Ѭ href=""http://www.lib.berkeley.edu/MRC/sovietfilmbib.html#october"">See separate bibliography of reviews and articles about this filmЖ"
"Turksib (1929)","Directed by Victor Turin. Depicts the herculean accomplishments of joining the arid plains of Turkestan to the icy Siberian mountains by rail. 57 min. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X6866"">DVD X6866Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVHS+999:1688"">VHS 999:1688Ж","â€¢149;Ѭ href=""http://us.imdb.com/Title?Turksib+(1929)"">Credits and other information from the Internet Movie DatabaseЖ","Reviews and articles:

â€¢149; Coldicutt, Ken ""Turksib; building a railroad"" Screening the Past, Issue 2 (8 December 1997) pp: 32- Ѭ href=""http://www.latrobe.edu.au/www/screeningthepast/classics/clasdec/Cold1.html"">Full-text of this article / review is available:Ж

"
"Zvenigora (Zakoldavanoye Mesto) (1928)","Directed by Alexander Dovzhenko. An allegory in which the central theme is the relationship of an old man with his two sons, one bad, one good, searching for treasure buried in the hill of Zvenigora. The good son represents the progressive social order for which the revolution strove; the bad son represents the chaos of any major social upheaval. Zvenigora is less a film than a tone poem, set forth by master Russian cinematic poet Alexander Dovzhenko. Moving outside the studio system for the first time (it was his fourth film), Dovzhenko uses lyrical location shots of rural Ukraine and its farmers to excellent advantage. The very complex storyline (too much so to dwell on at great length here) combines elements of fact and folklore in relating the ""history"" the Ukraine, using the search for a fabled treasure as the glue that holds the tale together. This is not an accessible ""classroom classic"" like Eisenstein's Potemkin. Be prepared to think and be challenged, and not to sit back comfortably, while experiencing Zvenigora. (Hal Erickson, Ѭ href=""http://allmovie.com"">All-Movie GuideЖ) Silent film with Russian intertitles. 84 min. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X6595"">DVD X6595Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:1092"">vhs 999:1092Ж","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0019611/"">Credits and other information from the Internet Movie DatabaseЖ


Reviews and articles:
â€¢149;Kepley Jr., Vance. ""Folklore as Political Rhetoric: Dovzhenko's Zuenigora."" Film Criticism, Fall82, Vol. 7 Issue 1, p37-46, 10p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=31286182&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ




See also:
â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/sovietfilmbib.html#dovzhenko"">Dovzhenko bibliographyЖ

"
"What Do Those Old Films Mean?: Part 5: U.S.S.R. 1924-1928: Born Yesterday.","Contents: The House on Trubnaya Square -- The Cigarette-girl of the Mossel Prom -- Katka's Apples -- The Devil's Wheel -- Kino-Eye -- Lace -- Remnants of an Empire. Explores the prominence of themes of social disorder, change, and experimentation in post-revolutionary Soviet cinema of the 1930's. Examines the sexual division of labor in the home. Includes excerpts from rare films that are virtually unknown in the West. Explores the prominence of themes of social disorder, change, and experimentation in post-revolutionary Soviet cinema of the 1930's. Examines the sexual division of labor in the home. Includes excerpts from rare films that are virtually unknown in the West. :5 Pt. 5","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+1406"">Video/C 1406Ж"
"Ѭ href=""#top"">To the topЖ
","
CzechoslovakiaЖ
"
"Adelheid (1969)","Directed by Frantisek Vlácil. Cast: Petr Cepek, Emma Cerna, Jan Vostrcil, Pavel Landovsky. In the aftermath of World War II, a former soldier takes charge of a manor formerly owned by a German family. He falls in love with the daughter, who is now a maid, and is forced to confront the conflict between his love and his conscience when he discovers that she is sheltering her German-soldier brother. 99 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+8534"">DVD 8534Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0122371/"">Credits and other information from the Internet Movie DatabaseЖ
"
"Alice (Neco z Alenky) (Czechoslovakia / Switzerland / UK / West Germany, 1988)","Directed by Jan Svankmajer. Alice is sitting in her room full of toys reading Lewis Carroll's story, during which she too is carried off to Wonderland. As she follows the elusive White Rabbit so begins this dream expedition into the landscape of childhood, combining techniques of animation, puppet theatre and live action. English version. 86 min. ; 999:1554","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+325"">DVD 325Ж","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0103639/"">Credits and other information from the Internet Movie DatabaseЖ

Ѭ href=""http://www.lib.berkeley.edu/MRC/svankmajer.html#alice"">See separate bibliography of reviews and articles about this filmЖ"
"All My Good Countrymen (Vsichni dobrí rodáci) (Czechoslovakia, 1968)","Directed by Vojtech Jasny. Cast: Vlastimil Brodsky, Radoslav Brzobohaty, Vladimir Mensik, Waldemar Matuska, Drahomira Hofmanova, Martin Ruzek as the speaker. During the Prague Spring, that brief flowering of freedom that preceded the Soviet invasion of Czechoslovakia, Vojtech Jasny directed this impassioned account of his country's tragic relationship with the Soviet Union. The film traces the lives of the people in a village from the summer of 1945 to 1968 as pressure is put on different villagers to join the local Communist Party. As time passes the leader of the local farmers is finally coerced into becoming a party member.  min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD.+114"">DVD. 114Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X26"">DVD X26Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0063791/"">Credits and other information from the Internet Movie DatabaseЖ

Reviews and articles:
â€¢149;Quart, Leonard. ""All My Good Countrymen."" Cineaste. Winter 2008, Vol. 34 Issue 1, p65 Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=sbh&AN=95971&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ

"
"All My Loved Ones (Vsichni moji blízcí ) (Czech Republic / Slovakia / Poland, 1999)","Directed by Matej Minac. Cast: Josef Abraham, Libuse Safrankova, Jiri Bartoska, Ondrej Vetchy, Branislav Holicek, Lucia Culkova, Tereza Brodska, Marian Labuda, Rupert Graves. Inspired by the real life heroics of Nicholas Winton who saved hundreds of Czech Jewish children from the Nazis. The Silberstein's are a large and close knit extended family living in Czechoslovakia. Believing in the decency of mankind, they don't pay heed to the Nazi threat. They finally realize the true horror of what is coming, but it is too late. Making the toughest possible decision, they must decide if they will turn their young son, David, over to Nicholas and risk never seeing him again. 95 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+7254"">DVD 7254Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0218705/"">Credits and other information from the Internet Movie DatabaseЖ"
"Autumn Spring (Babí léto) (Czech Republic, 2001)","Directed by Vladimír Michálek. Cast: Vlastimil Brodský, Stella Zzvorková, Stanislav Zindulka. Fanda is an old man who refuses to grow up. Despite pleas from his exasperated wife, Emilie, and son who want him to make some serious plans for the future, he ignores their nagging and spends his days seeking amusement and adventure. Aided by a pal, Fanda keeps his acting skills sharpened by pretending he is a retired opera star in the market for an opulent country estate. When he fakes his own death, his wife decides she has had enough and files for divorce. They soon discover that instead of worrying about old age, perhaps it's time to live each day to the fullest. 101 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X4584"">DVD X4584Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0286476/"">Credits and other information from the Internet Movie DatabaseЖ
"
"A Bite to Eat (1963)","Directed by Jan Nemec. Nemec's diploma film from the Prague Film Academy. The film is a hallucinatory moment, virtually without dialogue and handles one man's feverish attempt to steal a loaf of bread from a Nazi-guarded train. 10 min. In Czech with German subtitles. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+999:3795"">Video/C 999:3795Ж"
"Black Peter (Cerný Petr) (1963)","Written and directed by Milos Forman. This first feature film by Milos Forman presents Peter, a teenage malcontent, who lands a job in a grocery store, which pleases his pompous father. When, Peter finds the work distasteful and depressing, he seeks relief through a clumsy romance with a young girl. A delightful coming-of-age film that finds its humor in the keenly observed details of youthful romance, teenage dissatisfaction, and the small moments of life. 85 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+2858"">DVD 2858Ж","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0056919/"">Credits and other information from the Internet Movie DatabaseЖ


See also:
â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/forman.html"">Milos Foreman bibliographyЖ

"
"Closely Watched Trains (Ostre Sledované Vlaky) (1966)","Directed by Jirí Menzel. Comedy-drama about a young tainmaster employed in a tiny station during World War II. He becomes involved in a plot to blow up a German ammunition train, but when the plan backfires, he is forced to commit the ultimate act of courage. Based on the novel by Bohumil Hrabal. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+1180"">DVD 1180Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:1073"">vhs 999:1073Ж","â€¢149;Ѭ href=""http://us.imdb.com/Title?Ostre+sledovan%E9+vlaky+(1966)"">Credits and other information from the Internet Movie DatabaseЖ


â€¢149;Awards
â€¢149;Academy Award - Best Foreign Language Film

","Ѭ href=""http://www.lib.berkeley.edu/MRC/sovietfilmbib.html#trains"">See separate bibliography of reviews and articles about this filmЖ

","See also:","â€¢149;Bluestone, George. ""Jirí Menzel and the Second Prague Spring."" Film Quarterly, Vol. 44, No. 1, Autumn, 1990 Ѭ href=""http://www.jstor.org/stable/1212696"">Full-text of this article / review is available:UC users onlyЖ","â€¢149;Cooper, Thomas W. ""Jirí Menzel and the History of The Closely Watched Trains."" Film Criticism, Winter84/85, Vol. 9 Issue 2, p78-80, 3p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=31286246&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ","â€¢149; Crick, Philip ""Three East European Directors: Makavejev, Menzel, Jancsó."" Screen 1970 11: 64-71 Ѭ href=""http://screen.oxfordjournals.org/cgi/reprint/11/2/64"">Full-text of this article / review is available:UC users onlyЖ","â€¢149;Girelli, Elisabetta. ""Subverting space: Private, public and power in three Czechoslovak films from the 1960s and '70s."" Studies in Eastern European Cinema; Mar2011, Vol. 2 Issue 1, p49-59, 11p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=f3h&AN=59673334&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ"
"The Collected Shorts of Jan Svankmajer: The Early Years, Vol. 1 (1965-1980)","Utilizing a delirious combination of puppets, humans, stop-motion animation and live action, Svankmajer's films conjure up a dreamlike universe that is at once dark, macabre, witty and perversely visceral. This is a collection of his short works produced between 1965 and 1980. Contents: The fall of the House of Usher (1980, 15 min.) -- A game with stones (1965, 9 min.) -- Et cetera (1966, 7 min.) -- Punch and Judy (1966, 10 min.) -- The flat (1968, 13 min.) -- Picnic with Weissmann (1969, 13 min.) -- A quiet week in the house (1969, 19 min.). 86 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+6298"">DVD 6298Ж","Ѭ href=""http://www.lib.berkeley.edu/MRC/svankmajer.html"">See separate bibliography of reviews and articles about this filmЖ"
"The Collected Shorts of Jan Svankmajer: The Years, Vol. 2 (1982-1992)","Utilizing a delirious combination of puppets, humans, stop-motion animation and live action, Svankmajer's films conjure up a dreamlike universe that is at once dark, macabre, witty and perversely visceral. This is a collection of his short works produced between 1982 and 1992. Contents: Dimensions of dialogue (1982, 12 min.) -- Down to the cellar (1983, 15 min.) -- The pendulum, the pit and hope (1983, 16 min.) -- Meat love (1988, 1 min.) -- Flora (1989, 20 sec.) -- The death of Stalinism in Bohemia (1990, 15 min.) -- Food (1992, 17 min.). 76 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+6299"">DVD 6299Ж","Ѭ href=""http://www.lib.berkeley.edu/MRC/svankmajer.html"">See separate bibliography of reviews and articles about this filmЖ"
"Conspirators of Pleasure (Spiklenci slasti) (Czech Republic / Switzerland / UK, 1996)","Director, Jan Svankmajer. ""Conspirators of Pleasure"" is a partially animated, surreal comedy without dialog, about six ordinary if somewhat seedy individuals who obsessively and painstakingly prepare their sexual ""feasts"" which usually involve bizarre, homemade autoerotic contraptions. 97 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+1674"">DVD 1674Ж","â€¢149;Ѭ href=""http://us.imdb.com/Title?0117715"">Credits and other information from the Internet Movie DatabaseЖ","Ѭ href=""http://www.lib.berkeley.edu/MRC/svankmajer.html"">See separate bibliography of reviews and articles about this filmЖ"
"Daisies (Sedmikrasky) (1966)","Directed by Vera Chytilová. In this Czech new wave film two madcap teenage girls decide that since the world is spoiled they will be spoiled as well. Accordingly they embark on a series of destructive pranks in which they consume and destroy the world about them. 75 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+1825"">DVD 1825Ж","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0060959/"">Credits and other information from the Internet Movie DatabaseЖ


Reviews and articles:
â€¢149;Clouzot, Claire. ""Daisies."" Film Quarterly Vol. 21, No. 3 (Spring, 1968), pp. 35-37 Ѭ href=""http://www.jstor.org/stable/1210994"">Full-text of this article / review is available:UC users onlyЖ

"
"Diamonds of the Night (Demanty noci) (1964)","Directed by Jan Nemec. Diamonds of the night is a study of two Jewish boys who escape from a train which is transporting them from one concentration camp to another. The film goes beyond the theme of war and anti-Nazism to concern itself with man's struggle to preserve human dignity. Based on: Diamonds of the night by Arnost Lustig (Main (Gardner) Stacks PG5038.L85 D46131 1986) 64 min. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X6458"">DVD X6458Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:3795"">vhs 999:3795Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0058001/"">Credits and other information from the Internet Movie DatabaseЖ

Reviews and articles:

â€¢149;Liebman, Stuart; Quart, Leonard. ""Czech Films of the Holocaust."" Cineaste v22, n1 (Wntr, 1996):49 (3 pages). Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=9604240983&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Macnab, Geoffrey. ""Diamonds of the Night."" Sight & Sound, Jul2010, Vol. 20 Issue 7, p86-87, 2p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=f3h&AN=51489534&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Quart, Leonard. ""Diamonds in the Night"" Cineaste. Fall 2010, Vol. 35 Issue 4, p60 Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=sbh&AN=99640&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ

"
"Distant Journey (Daleká Cesta) (1949)","Directed by Alfred Radok. Cast: Blanka Waleska, Otomar Krejca, Viktor Ocasek, Zdenka Baldova, Jiri Spirit, Eduard Kohout. One of the first theatrical films about the Holocaust, banned for decades in the Czech Republic and then rediscovered, follows the struggles of Dr. Hannah Kaufman and her family from the time of the Nazi Occupation of Prague through her experiences in the transit camp of Theresienstadt (modern Terezin). 98 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+4133"">DVD 4133Ж","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0168626/"">Credits and other information from the Internet Movie DatabaseЖ"
"Divided We Fall (Musime si pomáhat) (Czech Republic, 2000)","Director, Jan Hrebejk. During World War II and the Nazi occupation of Czechoslavakia, a couple, Josef and Marie, decide to hide a young Jewish neighbor in their small apartment. They keep getting a visit from their neighbor, Horst, who is a German sympathizer who has his eye on Marie. When she rejects his advances he seeks revenge by trying to move a Nazi clerk into their home, forcing the couple to tell a lie that will change their lives forever. 122 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+1227"">DVD 1227Ж","â€¢149;Ѭ href=""http://us.imdb.com/Title?0234288"">Credits and other information from the Internet Movie DatabaseЖ
"
"Ecstasy (Ekstase)(Czechoslovakia / Austria, 1933)","Directed by Gustav Machatý. Cast: Hedy Lamarr, Aribert Moog, Leopold Kramer, Jaromir Rogoz. Eva has just gotten married to an older gentleman, but discovers that he is obsessed with order in his life and doesn't have much room for passion. She becomes despondent and leaves him, returning to her father's house. One day while bathing in the lake she meets a young man and they fall in love. The husband has become grief stricken at the loss of his young bride, and fate brings him together with the young lover that has taken Eva from him. The film was highly controversial in its time largely because of a nude swimming scene. It is also perhaps the first non-pornographic movie to portray sexual intercourse,[2] although never showing more than the actors' faces. It has also been called the first on-screen depiction of a female orgasm. Based on a story by Samuel Cummins 79 min. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X781"">DVD X781Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:287"">vhs 999:287Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0022867/"">Credits and other information from the Internet Movie DatabaseЖ

","See also:","â€¢149;Fischer, Lucy. ""Ecstasy: Female Sexual, Social, and Cinematic Scandal."" In: Headline Hollywood : a century of film scandal / edited by Adrienne L. McLean and David A. Cook. New Brunswick, N.J. : Rutgers University Press, c2001. (Main (Gardner) Stacks; PFA; Bancroft PN1993.5.U65 H39 2001)","â€¢149;Wittern-Keller, Laura. ""A Prolonged Case of Ecstasy."" In: Freedom of the screen : legal challenges to state film censorship, 1915-1981 / Laura Wittern-Keller. Lexington, Ky. : University Press of Kentucky, c2008. pp: 68-73. (Main (Gardner) Stacks PN1995.62 .W58 2008)"
"The Elementary School (Obecná Skola) (1991)","Directed by Jan Sverak. Ten-year-old Eda lives in Czechoslvakia. It is 1945 he goes to school with some boys who are so mischievous that they drive away their teacher. She is replaced by a tough disciplinarian who administers frequent beatings and also brags that he played an important role in the resistance to the Nazis. Despite this, the boys take to him. This gentle drama manages to get in some political points, including well-placed jibes about the development of a ""model socialist state"" in Czechoslovakia after the war. 110 min. 999:2749","â€¢149; Ѭ href=""http://us.imdb.com/Title?0102571"">Credits and other information from the Internet Movie DatabaseЖ
"
"The End of August at the Hotel Ozone (Konec srpna v Hotelu Ozon) (Czechoslovakia, 1967)","Directed by Jan Schmidt. Cast: Beta Ponicanova, Magda Seidlerova, Vanda Kalnova, Alena Lippertova, Ondrej Jariabek. Director Jan Schmidt paints a chilling, bleak picture of the future. Nuclear war has destroyed almost all of civilization. A group of women has gone to primal barbarity to survive. They go in search of men to help them have children. 67 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+7676"">DVD 7676Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0061879/"">Credits and other information from the Internet Movie DatabaseЖ
"
"The Fabulous World of Jules Verne (Vynález zkázy) (Czechoslovakia, 1958)","Directed by Karel Zeman. Cast: Lubor Tokos, Arnost Navrátil, Miroslav Holub, Jana Zatloukalová, Frantisek Cemý. Using a technique which combines live actors with props and backdrops designed to resemble 19th century illustrations tells the story of an evil man who wants to control all the world. Based on the novel Face au drapeau (English title: For the flag) by Jules Verne. 83 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X6443"">DVD X6443Ж","â€¢149; Ѭ href=""http://www.imdb.com/title/tt0052374/"">Credits and other information from the Internet Movie DatabaseЖ
"
"Faust (1994)","Directed by Jan Svankmajer. An Everyman lured off the streets of Prague finds himself becoming Faust and entering a world of mind-boggling magic and strange encounters. He summons up Mephisto, makes his awful pact and is plunged into a world of laughing devils, dreams and nightmares. Film is a profoundly imaginative combination of live-action, claymation, puppet-theatre, stop-motion animation and special effects. English language version. 93 min. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+467"">DVD 467Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVHS+999:1594"">VHS 999:1594Ж","â€¢149;Ѭ href=""http://imdb.com/title/tt0109781/"">Credits and other information from the Internet Movie DatabaseЖ
Ѭ href=""http://www.lib.berkeley.edu/MRC/svankmajer.html#faust"">See separate bibliography of reviews and articles about this filmЖ"
"The Fifth Rider is Fear (A páty Jezdec je Strach)(1964)","Director, Zbynek Brynych. Cast: Miroslav Machacek, Olga Scheinpflugova, Jiri Adamira, Illia Prachar, Josef Vinklar, Zdenka Prochazkova, Slavka Budinova, Jiri Virtala. An aging Jewish doctor is forbidden to practice medicine in Prague during the Nazi occupation. He is employed in a warehouse as a clerk, cataloguing confiscated Jewish property. When a partisan is wounded, the doctor reluctantly agrees to treat him. The doctor hides him in his run-down apartment building as he sneaks through the black-market underworld of Prague in search of morphine to ease the man's pain, ever fearful of informant neighbors and vigilant authorities. Within a historical context, director Zbynek Brynych creates a thinly-disguised allegory about contemporary communist Czechoslovakia that is rich in atmosphere and dark in tone. 100 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+7247"">DVD 7247Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0123368/"">Credits and other information from the Internet Movie DatabaseЖ"
