"Source:","http://www.lib.berkeley.edu/MRC/GayVid.html"
"
Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies

"
"","Gay, Lesbian, Bisexual, Transgender,
"Silent Pioneers.","Elderly homosexuals discuss the changed social conditions which have allowed them greater freedom in their relationships. c1984. 28 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3308"">Video/C 3308Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"The Silver Screen: Color Me Lavender","An exploration of the way Hollywood dealt with or ignored issues of homosexuality during its so-called Golden Age, when the studio system reigned supreme. This funny and occasionally rude re-examination of the subterfuges by which Hollywood has alluded to and at the same time avoided an issue that it could not even name, much less identify, it is at the same time a serious survey of gender issues and how they were perceived and perpetuated by the Hollywood dream factory from the 1930s up to the 1960s. A film by Mark Rappaport. 1997. 101 min. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X3967"">DVD X3967Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+6071"">Video/C 6071Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Silverlake Life.","An extraordinary video diary of living with AIDS. Told with guts and humor by longtime companions Tom Joslin and Mark Massi who both have AIDS, this powerful documentary celebrates the human spirit while capturing the emotional challenges of living with a fatal illness. DVD Special features: Never-before-seen epilogue footage by Elaine Mayes; filmmaker interviews by Parvez Sharma; filmmaker biographies and statement; awards and critical acclaim for Silverlake life; resource guide to AIDS organizations. Produced & directed by Tom Joslin and Peter Friedman c1993. 99 min.  
â€¢149;Awards","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+5426"">DVD 5426Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3229"">Video/C 3229Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"â€¢149;Berlin International Film Festival - Best Documentary Film","â€¢149;International Documentary Association","â€¢149;Los Angeles Film Critics Association Awards - Independent/Experimental Film and Video Award","â€¢149;Peabody Awards","â€¢149;Sundance Film Festival - Grand Jury Prize; Freedom of Expression Award","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Ѭ href=""http://www.lib.berkeley.edu/MRC/gaydocbib.html#silverlake"">See separate bibliography of reviews and articles about this filmЖ","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Since Stonewall.","Originally produced as 10 short motion pictures in the 1970's, 1980's and the early 1990's. Ten short films (two using animation) reflecting the feelings, fears, humor, artistry, and changing realities of gays and the gay life in America. c1992. 80 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+2739"">Video/C 2739Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"So What!: Young Queers United for Empowerment","","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X786"">DVD X786Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Southern Comfort","Fifteen years later, he has fallen in love with Lola Cola, a vivacious and magnetic woman who was born male. Together they are coping with Robert's terminal case of ovarian cancer. Produced, filmed and edited by Kate Davis. 2000. 90 min.  ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+5501"">DVD 5501Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM1161"">Video/C MM1161Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Stigmata: The Transfigured Body","Stigmata is a riveting look at body modification such as tattooing, cutting, piercing and branding, practices which are becoming increasingly popular amongst women. Although these activities are considered radical, the videotape suggests that they are no more physically radical than cosmetic surgery; and these women are transforming their bodies against conventional stereotypes of femininity rather than to conform to them. Stigmata explores concepts of beauty, self-determination and the outer limits of female sexuality. c1992. 27 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4926"">Video/C 4926Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Related web sites:","â€¢149; Ѭ href=""http://www.wmm.com/filmcatalog/page.shtml"">Description from Women Make Movies catalogЖ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/es%2Fc209"">s/c209Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Stolen Moments.","Giving voice to stories that have been scattered or buried, rendering a shadowy history visible, this film weaves together the lost threads of lesbian history. Here lesbian writers share their insights on lesbianism, sexual politics and feminism against a backdrop of women's motorcyle clubs, the Michigan Womyn's Music Festival, the Vancouver Gay Games, lesbian stand-up comedy and gay bars that were once the only public meeting places available to lesbians. 1997. 92 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5657"">Video/C 5657Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"ЖThe Stonewall Archives. The Before Stonewell Interviews","Special features: Disc 1: Two poems by Allen Ginsberg, performances from the Before Stonewall Garden Party. Disc 1. The gay performers -- Disc 2. The lesbian pioneers -- Disc 3. Gay men take action before Stonewall. Traces the social, political and cultural history of homosexuality in America from the 1920s to 1969; the beginning of the Gay Liberation Movement after a police raid on Stonewall Inn, a gay bar in New York City; and the three-day riot that followed. Contains original interviews and performances recorded for the film, and uses extensive archival film, movie clips and personal recollections to construct an audiovisual history of the gay community before the Stonewall riots. Archival material released here is part of the Before Stonewall Archive Project.  [See Also: Ѭ href=""#beforestonewall"">Before StonewallЖ]","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+6540"">DVD 6540Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Stonewall 25: Global Voices of Pride and Protest.","A celebration of 25 years of gay and lesbian history including a visit to the sight of the Stonewall gay bar and footage from the Gay Games. 1994. 80 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3565"">Video/C 3565Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Stonewall Uprising","Explores the dramatic event that launched a worldwide rights movement. When police raided a Mafia-run gay bar in Greenwich Village, the Stonewall Inn on June 28, 1969, gay men and women did something they had not done before: they fought back. As the streets of New York erupted into violent protests and street demonstrations, the collective anger announced that the gay rights movement had arrived. Based on: Stonewall : the riots that sparked the gay revolution by David Carter (Main (Gardner) Stacks; Moffitt HQ76 .C315 2004) Directed by Kate Davis. 2010. 90 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X6867"">DVD X6867Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Stop the Church.","Documentary film exploring the planning and execution of the disruption of a service at St. Patrick's Roman Catholic Cathedral in 1989 by the radical gay rights group, ACT UP. The filmmaker brings the audience into the Cathedral during the protest as well as into the planning sessions of ACT UP, New York. 1990. 24 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3416"">Video/C 3416Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Straight for the Money: Interviews with Queer Sex Workers","A Documentary offering a unique perspective on sex work from the lesbian point of view. Through interviews, erotica, and archival footage the videomaker explores the lives of lesbian strippers, prostitutes and exotic dancers, including author and activist Annie Sprinkle. The women share their perspectives on feminism, sexual empowerment, desire and cold hard cash which they have gained working in this predominantly heterosexual and male dominated industry. 1994. 59 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5577"">Video/C 5577Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Straightlaced","Meet 50 incredibly diverse students who take us on a powerful, intimate journey to see how popular pressures around gender and sexuality are shaping the lives of today's American teens ... Demonstrates how gender-based expectations are deeply intertwined with homophobia, and also are impacted by race, ethnicity and class. From girls confronting popular messages about culture and body image, to boys who are sexually active just to prove they aren't gay, the film reveals the toll that deeply-held stereotypes and rigid gender policing have on all of our lives, and offers both teens and adults a way out of anxiety, fear, and violence. Directed by Debra Chasnoff. Dist.: Ѭ href=""http://www.newday.com/"">New Day FilmsЖ. c2009. 67 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X2982"">DVD X2982Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Stuart Gaffney: Compilation tape. Number 1: Hapa and Asian-themed Video Works","Contents: Cunanan's conundrum (col., 11 min., 1998) -- Names (b&w, 8 min, 2000) -- Secret sounds (b&w, 4 min., 2001) -- Transgressions (b&w, 6 min., 2002) -- Chinese Tom (b&w, si., 3 min., 2003) -- Introductions (b&w, 7 min., 1999). 1994. 24 min. 

Presents films from Stuart Gaffney who produces short works on AIDS, queer and Eurasian identities. Films in his first compilation tape focus on queer Hapa and Asian-themes. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4074"">Video/C 4074Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM72"">Video/C MM72Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Stuart Gaffney: Compilation tape. Number 2: HIV/AIDS-themed Video Works.","Contents: Virus (col., 4 min., 1994) -- Re Generation (col., 6 min, 1995) -- Look harder (col., 4 min., 1996) -- Leaving the way it came (b&w, 3 min., 1997) -- Dear Al (col., 2 min., 1997) -- Bareback (b&w, 4 min., 1999).
Presents films from Stuart Gaffney who produces short works on AIDS, queer and Eurasian identities. Films in his second compilation tape focus on AIDS and HIV themes. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM73"">Video/C MM73Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Stuart Gaffney: Compilation tape. Number 3: Queer-themed Video Works.","Contents: My lover's aunt's porn (col., 4 min., 2000) -- Dream figure (b&w, 4 min, 2001) -- Whit/men (col., si., 4 min., 1997) -- My pornographic life (col., 3 min., 1998) -- Sex offender (col., 3 min., 1998).
Presents films from Stuart Gaffney who produces short works on AIDS, queer and Eurasian identities. Films in his third compilation tape focus on gay and homosexual themes. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM74"">Video/C MM74Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Summer in My Veins","Gay Indian filmmaker Nish Saran, recently tested positive for HIV, travels across the United States with his family who are visiting from India and reveals his gayness to his mother during the journey. Ѭ href=""http://www.frameline.org"">FramelineЖ. c1999. 41 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+8380"">Video/C 8380Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Tender Fictions.","A film by Barbara Hammer. Autobiographical film tracing the life of Barbara Hammer, lesbian filmmaker and activist, presented through numerous stills from her early life, home movies, experimental films, news footage and personal photographs. c1995. 58 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+7625"">Video/C 7625Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Related web sites:","â€¢149; Ѭ href=""http://www.wmm.com/filmcatalog/page.shtml"">Description from Women Make Movies catalogЖ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/es%2Fc426"">s/c426Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Thank God I'm a Lesbian.","A documentary about the diversity of lesbian identities. A series of frank and articulate discussions about issues ranging from coming out, racism, bisexuality, and SM, to the evolution of the feminist and lesbian movements, outing, and compulsory heterosexuality. 1992. 55 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3367"">Video/C 3367Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Related web sites:","â€¢149; Ѭ href=""http://www.wmm.com/filmcatalog/page.shtml"">Description from Women Make Movies catalog descriptionЖ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/es%2Fc223"">s/c223Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"That Man","Traces Peter Berlin's story from his childhood in wartime Germany to his current life in San Francisco. A talented artists, photographer, and filmmaker, Peter Berlin was his own biggest creation, a carefully constructed, unattainable icon awash in eroticism. Directed by Jim Tushinski. 2006. 80 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X4261"">DVD X4261Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"There's a Wideness in God's Mercy.","Presents a plea by two protestant clergymen using Biblical exegesis, for the acceptance of gay and lesbian Christians and lifestyles into mainstream Protestant churches. [199-?] 31 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+7014"">Video/C 7014Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"The Times of Harvey Milk.","On November 27, 1978, Dan White, a former City Supervisor entered San Francisco's City Hall with a gun and murdered both the Mayor, George Moscone, and San Francisco's first openly gay politician, City Supervisor, Harvey Milk. White was convicted of voluntary manslaughter and served a brief jail term, sparking a demonstration and riot by gay supporters of the murdered men. Directed by Rob Epstein. 88 min.   
â€¢149;Awards","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+2728"">DVD 2728Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+1009"">Video/C 1009Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"â€¢149;Academy Awards - Best Documentary, Features","â€¢149;International Documentary Association","â€¢149;New York Film Critics Circle Awards - Best Documentary","â€¢149;News & Documentary Emmy Awards - Outstanding Interview/Interviewer - Programs","â€¢149;Peabody Awards","â€¢149;San Francisco International Lesbian & Gay Film Festival - Best Documentary","â€¢149;Sundance Film Festival - Special Jury Prize, Documentary","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Tiny & Ruby: Hell Divin' Women","This tribute profiles the jazz trumpeter Ernestine""Tiny"" Davis, and her lesbian partner of 40 years, drummer Ruby Lucas (aka Renee Phelan). Includes interviews with Tiny and Ruby in their Chicago home, archival material, lively musical performances, and narration by poet Cheryl Clarke. A film by Greta Schiller. c1988. 28 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4073"">Video/C 4073Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Reviews and articles:","â€¢149;Eaklor, Vicki L. ""Tiny & Ruby: Hell Divin' Women."" Review. The American Historical Review, Vol. 95, No. 4. (Oct., 1990), pp. 1146-1147. Ѭ href=""http://www.jstor.org/browse/00028762/di981889/98p0809r/0?frame=noframe&userID=802071c8@berkeley.edu/01cce4405b00501b5dd90&backcontext=page&backurl=/cgi-bin/jstor/viewitem/00028762/di981889/98p0809r/0%3fframe%3dnoframe%26dpi%3d3%26userID%3d802071c8@berkele"">Full-text of this article / review is available:Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Related web sites:","â€¢149; Ѭ href=""http://distribution.asianamericanmedia.org/browse/film/?i=212"">Description from Center for Asian American Media catalog descriptionЖ","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Tom Chomont.","A compilation of four films by this filmmaker: Jabbok, the Heavens, Razor Head, and The Bath. 1992?. 17 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+2692"">Video/C 2692Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Tom's Flesh.","An experimental documentary film informed by the intersection of the gay male body aesthetic and childhood abuse circa 1960s. Incorporating dark, distant memories, and recent invasive procedures, the film draws on the personal experience of one of its makers: growing up fat, loosing huge amounts of weight, being bulimic and anorexic, having plastic surgery, these all reflect the outward signs of Tom's relationship to his flesh, his internal self-perception and external self imaging. 1994. 9 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4922"">Video/C 4922Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"The Transformation","SEE: Ѭ href=""#SaltMines"">The Salt Mines & The TransformationЖ
","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Transgeneration","This eight part television series follows four American college students over the period of a year as they prepare for gender reassignment. Faced with life-altering choices such as whether or not to take hormone therapy or undergo sex reassignment surgery, these four individuals discuss their lives, their hopes and setbacks, as they deal with varying reactions from family, friends and society. Directed by Jeremy Simmons. c2005 ca. 300 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+6600"">DVD 6600Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Trembling Before G-d","A documentary built around personal stories of gay and lesbian Hasidic and Orthodox Jews. Portrays people who face a profound dilemma - how to reconcile their passion for Judaism with the biblical prohibitions against homosexuality. Includes interviews with closeted and out gay Orthodox and Hasidic Jews, including the first openly gay Orthodox rabbi, Steven Greenberg. A film by Sandi Simcha Dubowski and Marc Smolowitz. Special features (Disc 2): a 36 min. documentary about the film: ""Trembling on the road"" / directed and produced by Sandi Simcha Dubowski; a short film by the director: ""Tomboychik;"" short film ""Mark: the musical;"" interview with the director; more interview footage with Rabbi Steve Greenberg, Rabbi Aron Tendler, Rabbi Aharon Feldman, Rabbi Meir Fund, Rabbi Dr. Nathan Lopes Cardozo, Rabbi Shlomo Riskin; a discussion of the opening scenes; a discussion among the facilitators of Petach Lev: the Trembling Before G-d Israeli Education Project; conversation with editor/creative collaborator Susan Korda; deleted scene; a discussion of the atonement ceremony for sexual sins; theatrical trailer; international resources, links, and glossary. 84 min. 2000 ; 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X5624"">DVD X5624Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+9347"">Video/C 9347Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"â€¢149;Awards","â€¢149;American Library Association Video Rountable Notable Videos for Adults","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Turnabout: The Story of the Yale Puppeteers: Featuring Harry Burnett and His Marionettes","The theatrical memoir of the Yale Puppeteers, three men who became world renowned puppeteers, now in their 90's, who delighted millions with witty shows and who happen to be gay. The story of Forman George Brown, Harry Burnett and Roddy Brandon. 58 min. 1992. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+9153"">DVD 9153Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"United in Anger: A History of ACT UP","Combines startling archival footage and insightful interviews to explore ACT UP (the AIDS Coalition to Unleash Power) from a grassroots perspective. The film takes the viewer through the planning and execution of a half dozen exhilarating major actions, including Seize Control of the FDA, Stop the Church, and Day of Desperation, with a timeline of many of the other zaps and actions that forced the U.S. government and mainstream media to deal with the AIDS crisis, revealing the group's complex culture. Meetings, affinity groups, and approaches to civil disobedience mingle with profound grief, sexiness, and the incredible energy of ACT UP. 93 min. 2011. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X9314"">DVD X9314Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"An Untitled Portrait","Directed by Cheryl Dunye. Dunye's relationship with her brother is examined in this mixture of appropriated film footage, super 8mm home movies & Dunye's special brand of humor. 1993. 4 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X2485"">DVD X2485Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Vanilla Sex","Directed by Cheryl Dunye. Dunye's contribution to visual artist Shu Leah Cheng's video installation Those fluttering objects of desire. 1992. 4 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X2485"">DVD X2485Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Vocation.","Directed by Jerry Tartaglia, pastoral hymn to the god Pan, which was filmed at the Short Mountain Collective in Tennessee. 1993?. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3249"">Video/C 3249Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Voices from the Front: America 1988-1991.","Documentary about AIDS activism in the United States from 1988-1991. Includes coverage of demonstrations and interviews with AIDS activists seeking to change public consciousness, expose the failure of the health care system, and challenge government inaction and neglect concerning AIDS.c1994. 90 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3723"">Video/C 3723Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"We Were Here","A deep and reflective look at the arrival and impact of AIDS in San Francisco and how individuals rose to the occasion during the first years of this unimaginable crisis. Directed by David Weissman ; co-director, Bill Weber. 2011 90 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X6705"">DVD X6705Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"What's Underground About Marshmallows?Ж","""The complete, extraordinary ""reperformance"" by Ron Vawter of Jack Smith's 1981 performance piece, What's Underground About Marshmallows?, in which Jack, strongly against the commodification of art and fearful that people were making illegal copies of his films, accuses Jonas Mekas, the champion of avant-garde film in the early '60s, of this diabolical infringement. In Marshmallows, Jack tells a funny, pathetic tale ""on"" himself--a nightmare of failing to catch Mekas--called variously ""Uncle Artcrust,"" ""Uncle Fishhook"" and sometimes ""Old Uncle Oldie""--in the act of duplication."" [description from Ѭ href=""http://www.facets.org/"">FACETS catalogЖ] Also includes Ron Vawter's performs portrayal of a classic Roy Cohn after-dinner speech for the Society for the Protection of the American Family. ""An intense cinematic translation of a theatre piece in which actor Ron Vawter interprets the dual roles of Roy Cohn--the racist, reactionary prosecutor of the Joe McCarthy era and beyond who battled civil rights for homosexuals though he was homosexual himself--and Jack Smith, the open, avant-garde filmmaker/performanceartist of Flaming Creatures. 'These two men, who had nothing in common except their death from AIDS in the late '80s, are resurrected by Vawter and Godmilow in a constrast of stance, from which is born, little by little, a sensation of undoing, of sadness, of finitude' (La Stampa)."" 1998. 90 min. ; Roy Cohn/Jack Smith also on ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+7682"">Video/C 7682Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X3479"">DVD X3479Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"When Democracy Works.","A film examining the radical Right wing in the United States promoting grassroots resistance to the Right's agenda. It features case studies of political action on the Right: David Duke's campaigns for political office in Louisiana; the conservative drive to pass anti-gay Amendment 2 in Colorado and the anti-immigrant Proposition 187 and anti-affirmative action initiatives in California. 1996. 30 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+6224"">Video/C 6224Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"When Girls Do It.","This documentary reveals the human reality behind sexual abuse by women, the healing process for those who have survived abuse, and the need for treatment programs for female offenders. Powerful interviews with female sexual offenders and survivors of abuse, therapists, and psychologists reveal the devastating effects on the victims, acknowledge the enormity of such offenses and encourage victims to speak out against this under-reported crime. The documentary also delves into related issues including the long-held misconception that sexual abuse of children is exclusively a male crime. Produced, written, and directed by Glynis Whiting. 2001. 46 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM360"">Video/C MM360Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"When I Knew","Inspired by the book of the same name by Robert Trachtenburg, more than 150 people in five cities were surveyed about the experience of realizing they were gay. In the resulting film, 16 interviewees--of different ages, sexes, and lifestyles--share their stories describing their own ""when I knew"" moment. Some experienced confusion and fear, but all have embraced their sexual orientation as essential to their personhood. Directed and produced by Fenton Bailey & Randy Barbato. 2007. 36 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X2951"">DVD X2951Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Where Are We?: Our Trip Through America.","Two filmmakers take a trip to the American South in order to try and get a perspective about gay life in the South. For the most part, the individuals questioned reveal insular, even ignorant perspectives, that give a chilling view. It is also a film about ordinary people working, playing, and just getting by -- each pursuing a unique and sometimes startlingly original version of the American dream. Directed by Rob Epstein, Jeffrey Friedman. 1992. 75 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+2729"">DVD 2729Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Who Happen to be Gay.","Six professionals discuss their decisions to lead openly gay lives and how this has affected their relationships with family, friends and colleagues. 1980. 23 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+265"">Video/C 265Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Wigstock, The Movie.","""What's big, tough, and wears size twelve pumps? Some of the drag queens in Wigstock: The Movie (Goldwyn), that's what. If you've never been down to the Greenwich Village piers on Labor Day weekend to witness the event called ""Wigstock"" in the flesh, then this documentary is for you. It is not necessary to cross-dress to enjoy this high-spirited look at big hair and heavy pancake. The wig-in emceed by the ever brassy Lady Bunny is celebrating its tenth anniversary and the movie, directed by Barry Shils, utilizes footage from Wigstock's past, but not forgotten. The event began in Tompkins Square Park, was then moved to Union Square Park, but just kept getting bigger and bigger and bigger. What else would you expect with all that teasing going on? Now ensconced at the foot of Christopher Street, Wigstock has found it's home. Making guest appearances are Mistress Formica, Deee-lite, the Duelling Bankheads, RuPaul and the dyvine Lypsinka."" [from HBO website, Jim Byerley]1995. 82 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4173"">Video/C 4173Ж","Ѭ href=""http://www.lib.berkeley.edu/MRC/gaydocbib.html#wigstock"">See separate bibliography of reviews and articles about this filmЖ","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Word is Out.","Interviews with 26 men and women of all ages and cultures who are members of America's gay communities. Executive producer, Peter Adair; producer, Nancy Adair; director, Andrew Brown. Camera, sound, interviewing, and editing by: Lucy Massie Phenix, Robert Epstein, Andrew Brown, Veronica Selver, Nancy Adair, Peter Adair. 1978. 130 min.  (restored); ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X2867"">DVD X2867Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+2848"">Video/C 2848Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"â€¢149;Awards","â€¢149;American Library Association Video Round Table: Notable Videos for Adults","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
""
"Women In Love: A Documentary About Lesbian Relationships."
"Women Like Us."
"
Ж"
"Anyone and Everyone","GLBT Families and Marriage"
"Because This is About Love: A Portrait of Gay and Lesbian Marriage.","GLBT Families and Marriage"
"GLBT Families and Marriage"
"Chicks in White Satin.","GLBT Families and Marriage"
"Daddy & Papa (Story About Gay Fathers in America)","GLBT Families and Marriage"
"De Colores: Lesbian and Gay Latinos: Stories of Strength, Family and Love (Lesbianas y ays Latinos: historias de fuerza, familia y amor)","GLBT Families and Marriage"
"Family Fundamentals","GLBT Families and Marriage"
"Family Matters.(Way We Live: Introduction to Sociology; 15)","GLBT Families and Marriage"
"Family Values.","GLBT Families and Marriage"
"First Comes Love","GLBT Families and Marriage"
"The Gay Marriage Thing","GLBT Families and Marriage"
"Just Married: The Epic Battle Over Gay Marriage.","GLBT Families and Marriage"
"GLBT Families and Marriage"
"The Mormon Propo$ition: Equality for Some","GLBT Families and Marriage"
"My Sister, My Bride","GLBT Families and Marriage"
"Not All Parents Are Straight.","GLBT Families and Marriage"
"Off and Running: An American Coming of Age Story","GLBT Families and Marriage"
"One Wedding and a ... Revolution.","GLBT Families and Marriage"
"Pursuit of Equality: The Unfinished Work of American Freedom","GLBT Families and Marriage"
"Our House: A Very Real Documentary About Kids of Gay and Lesbian Parents.","GLBT Families and Marriage"
"Saints & Sinners","GLBT Families and Marriage"
"Straight From the Heart.","GLBT Families and Marriage"
"Tell the Children.","GLBT Families and Marriage"
"That's a Family!","GLBT Families and Marriage"
"Three of Hearts: A Postmodern Family","GLBT Families and Marriage"
"The Trials of Jimmy Creech.","GLBT Families and Marriage"
"Tying the Knot.","GLBT Families and Marriage"
