"Source:","http://www.lib.berkeley.edu/MRC/pomo2.html"
"
Experimental and Avant Garde Artists, Performers, and Film Makers

Ж
"
"Contents - this page:
","â€¢149; Ѭ href=""#theater"">Theater and Performance ArtЖ","â€¢149; Artists A-I


","

[Click on a Name]
Marina Abramovic
Vito Acconci
Kathy Aker
Laurie Anderson
Ant Farm
John Baldessari
Matthew Barney
Julian Beck
Lynda Benglis
Bread and Puppet Theater
Peter Brook
Chris Burden
Burning Man Festival
David Byrne
John Cage
Peter Campus
DV8
Valie Export
Karen Finley
Fluxus
Richard Foreman
Joanna Frueh
Coco Fusco
Guillermo Gomez-Peña
Spalding Gray
Lynn Hershman
Gary Hill
Nancy Holt
Jenny Holzer
Bill Irwin

","â€¢149; Artists J-Z


","

[Click on a Name]
Joan Jonas
Allan Kaprow
Last Poets
Elizabeth LeCompte
Living Theater
James Luna
Mabou Mines
Dwight Marcus
Gordon Matta-Clark
Taylor Mead
Ana Mendieta
Meredith Monk
Linda Montano
Charlotte Moorman
Bruce Nauman
Claus Oldenburg
Yoko Ono
Open Theater
Nam June Paik
Ray Gun Theater
Martha Rosler
San Francisco Mime Troupe
Carolee Schneemann
Peter Sellars
Societas Raffaello Sanzio
Survival Research
Ulay
William Wegman
Robert Whitman
Hannah Wilke
Robert Wilson
Wooster Group

","â€¢149; Ѭ href=""#music"">Music/SoundЖ","â€¢149; Ѭ href=""#dance"">DanceЖ","â€¢149; Ѭ href=""#other"">OtherЖ","â€¢149; Art/photography SEE Ѭ href=""http://www.lib.berkeley.edu/MRC/Artvid.html"">MRC Art/Photography videographyЖ","Experimental and Avant Garde Artists, Performers, and Film Makers"
"The Red Tapes.","tape 1. Common knowledge -- tape 2. Local color -- tape 3. Time lag. Camera, Ed Bowes ; sound, Tome Bowes ; music, Charles Ives. Ericka Beckman, Ilona Granet, Richie O'Halloran, Kathy Rusch, David Salle, Michael Zwack. Considered to be Acconci's master work, this three-part epic is one of the major achievements in the video medium. Designed originally for video projection, the work is structured to merge video space--the close-up--with filmic space--the landscape. Acconci maps a topography of the self within a cultural and social context, locating personal identity through history, cultural artifacts, language and representation. Originally released in 1976. 142 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+5361"">DVD 5361Ж","â€¢149;Vito Acconci"
"Seedbed.","A silent record of Acconci's performance art piece where he lay hidden underneath a gallery-wide ramp installed at the Sonnabend Gallery, masturbating while talking about his fantasies about the visitors walking above him on the ramp. Originally released in 1972. 10 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+5363"">DVD 5363Ж","â€¢149;Vito Acconci"
"Three Adaptation Studies","Contents: Blindfolded catching -- Soap and eyes -- Hand and mouth. In these early film exercises, Acconci exhibits an almost childlike vulnerability that is at once comic and oddly affecting. In Blindfold Catching, a blindfolded Acconci reacts, flinching and lunging, as rubber balls are repeatedly thrown at him from off-screen. In Soap & Eyes, he tries to keep his eyes open after dousing his face with soapsuds, resulting in a tragicomic clown face. In Hand and Mouth, he repeatedly forces his fist into his mouth until he gags. Dist.: Ѭ href=""http://www.eai.org"">Electronic Arts IntermixЖ. 1970. 8 min,","â€¢149;Vito Acconci"
"Undertone.","One of Acconci's most compelling and controversial works, Undertone is a confrontational and coercive attempt to engage the viewer in an intimate, ultimately perverse relation with the artist as he expounds a masturbatory fantasy with the viewer as voyeur. (Purchased with Stuart and Gail Buchalter Fund for the Study of Contemporary Art). 1973. 37 min. 

Ж","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5210"">Video/C 5210Ж","â€¢149;Vito Acconci"
"The Empire of the Senseless.","Excerpts read by Kathy Aker, SFU Poetry Center, 1986.  [preservation copy] ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+8984"">DVD 8984Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+1221"">Video/C 1221Ж","â€¢149;Kathy Aker"
"Who's Afraid of Kathy Acker?","A multi-layered work featuring animation, archival footage and interviews presenting a thoughtful and creative film biography/essay on the late outlaw writer and punk icon, Kathy Acker, whose formally inventive novels, published from the '70s through the mid-90s, challenged assumptions about gender roles, sexuality, and the literary canon. Written and directed by Barbara Caspar. 2008. 84 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X2399"">DVD X2399Ж","â€¢149;Kathy Aker"
"Related web sites:","â€¢149; Ѭ href=""http://www.wmm.com/filmCatalog/page.shtml"">Description from Women Make Movies catalogЖ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/es%2Fc751"">s/c751Ж","â€¢149;Kathy Aker"
"See also: Ѭ href=""#2moon"">Two Moon JulyЖ","â€¢149;Laurie Anderson"
"14 Americans: Directions of the 1970s","Featuring: Vito Acconci, Laurie Anderson, Alice Aycock, Scott Burton, Peter Campus, Chuck Close, Nancy Graves, Joseph Kosuth, Gordon Matta-Clark, Mary Miss, Elizabeth Murray, Dennis Oppenheim, Dorothea Rockburne, Joel Shapiro.
Examines a diverse group of New York-based artists in order to record many of the most provocative works and ideas of the past decade. These artists created performances, sculptures, earthworks, tableaux, furniture, shaped canvases and more using unusual materials. In this ""idea art,"" their focus is often as much social and psychological as artistic. c2000. 91 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+9105"">Video/C 9105Ж","â€¢149;Laurie Anderson"
"Laurie Anderson on Performance.","Profiles performance artist Laurie Anderson who is best known for her use of music, technology, handmade instruments, films, actors and props to tell her tales. Includes footage of 1984 and 1999 interviews with Anderson, excerpts from Anderson's performances, and an interview with RoseLee Goldberg, author of a book on Anderson's work. 58 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+8249"">Video/C 8249Ж","â€¢149;Laurie Anderson"
"Puppet Motel.","(CD-ROM/Mac). Laurie Anderson; with Hsin-chien Huang. Original interactive multimedia performance piece. If the computer has a direct Internet connection (PPP, SLIP, or similar), and a copy of Netscape Navigator, Netscape can be launched directly from within Puppet motel. Includes the music for Down in Soho and excerpts from Stories from the Nerve Bible. Compu/D 322","â€¢149;Laurie Anderson"
"The Sensual Nature of Sound: 4 Composers","Four women composers (Laurie Anderson, Tania Leon, Meredith Monk, Pauline Oliveros) talk about their backgrounds, musical development, and work. Although all are pioneers in American music, each pursues a distinct direction of her own. Filmed at rehearsals and performances in the United States and abroad, the program examines the contributions of these diverse composers to contemporary American music. 2000. 58 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+8413"">Video/C 8413Ж","â€¢149;Laurie Anderson"
"Talk Normal: The Laurie Anderson Anthology. [Sound Recording]","Contents: O Superman (for Massenet) -- From the air -- Big science -- Born, never asked -- It tango -- Gravity's angel -- Excellent birds -- Langue d'amour -- Sharkey's day c (single edit) -- Walk the dog -- Cartoon song -- So happy birthday -- City song -- The big top -- Dr. Miller -- Lighting out for the territories -- Smoke rings -- Talk normal -- Language is a virus -- Credit racket -- Strange angels -- Babydoll -- Collsville -- My eyes -- The dream before -- The day the devil -- Speak my language -- Love among the sailors -- Poison -- In our sleep -- Night in Baghdad -- The night flight from Houston -- The rotowhirl -- The ouija board -- The end of the world. 153 min. 
Ж","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eSOUND%2FD+73"">SOUND/D 73Ж","â€¢149;Laurie Anderson"
"See also: Ѭ href=""http://www.lib.berkeley.edu/MRC/pomo.html#firstdecade"">Surveying the First Decade: Video Art and Alternative Media in the U.S.Ж","Ant Farm Video.","Contents: Cadillac Ranch 1974/1994 -- Media burn -- Ant Farm's dirty dishes -- Inflatables illustrated -- World's longest bridge -- Ant Farm time capsule, 1972-1984 -- OFF-AIR Australia. In 1975, two artists barreled a car full speed into a pyramid of televisions for a spectacular performance art put on by the Ant Farm, a group of radical architects, video and performance artists and visionaries. Includes six additional Ant Farm features. Films originally produced between 1970-2003. 127 min.  (Cadillac Ranch and Media Burn also on VHS )","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+2774"">DVD 2774Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3303"">Video/C 3303Ж","â€¢149;Ant Farm"
"The Eternal Frame See Ѭ href=""#Persistence1"">Persistence of Vision, 1Ж
Ж","â€¢149;Ant Farm"
"See also: Ѭ href=""http://www.lib.berkeley.edu/MRC/pomo.html#firstdecade"">Surveying the First Decade: Video Art and Alternative Media in the U.S.Ж","Baldessari Sings LeWitt","Seated and holding a sheaf of papers, Baldessari proceeds to sing each of Sol Lewitt's thirty-five conceptual statements to a different pop tune, after the model of Ella Fitzgerald Sings Cole Porter. What initially presents itself as faintly humorous, gradually becomes a struggle to convey Lewitt's statements through this arbitrary means. (Purchased with Stuart and Gail Buchalter Fund for the Study of Contemporary Art) 1972. 15 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4684"">Video/C 4684Ж","â€¢149;John Baldessari"
"How We Do Art Now","Contents: How various persons spit out beans -- Comparing two sounds -- A 20"" tape -- The Eye does not naturally pan -- Cigar lexicon -- On making a masterpiece (for Joe Frazier).
A series of conceptual non sequiturs that illustrate the video artist's strategy of indexing variations of simple actions or objects to the point of absurdity. 13 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4684"">Video/C 4684Ж","â€¢149;John Baldessari"
"I Am Making Art","In an ironic reference to body art, process art and performance, Baldessari challenges definitions of the content and execution of art-making. Performing with deadpan precision, he moves his hands, arms and entire body in studied, minute motions, intoning the phrase ""I am making art"" with each gesture, as if art were being created from moment to moment with each body movement. (Purchased with Stuart and Gail Buchalter Fund for the Study of Contemporary Art) 1971. 17 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5242"">Video/C 5242Ж","â€¢149;John Baldessari"
"John Baldessari: Some Stories","Through commentary by the artist, this film reveals the thinking behind the work of John Baldessari over the course of his career, and provides clues to the understanding of the artist's paintings, photographic work and books. What emerges is a portrait of a thoughtful, quietly rebellious artist who has influenced a large number of younger artists over the last twenty years, and who has clearly followed his own path in the exploration of the territory which he embarked upon in the late 1960's. 1990. 29 min. 
Ж","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+6576"">Video/C 6576Ж","â€¢149;John Baldessari"
"The Body as Matrix: Matthew Barney's Cremaster Cycle.","With the five-part Cremaster Cycle of films, multi-award-winning artist Matthew Barney invented a densely layered and interconnected sculptural world that surreally combines sports, biology, sexuality, history, and mythology as it organically evolves. In this program, Barney, Guggenheim curator Nancy Spector, and others deconstruct the Cycle's filming and subsequent translation into sculptural installations. 2003. 53 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+2804"">DVD 2804Ж","â€¢149;Matthew Barney"
"Matthew Barney, No Restraint","Follow the phenomenal journey of renowned artist Matthew Barney and his collaborator, singer-songwriter Bjork, as they embark on an unbelievable filmmaking journey in Japan. From artistic vision to manifestation, this compelling documentary reveals Barney's unique process in creating Drawing restraint 9, a massive cinematic piece that combines a whaling vessel; 45,000 pounds of petroleum jelly; and traditional Japanese rituals in one fantastical love story. It's a rare look at a one-of-a-kind artist who has inspired audiences around the globe. Includes interview gallery featuring Matthew Barney, Bjork and the chief art critic from the New York Times, Michael Kimmelman; time laps photography. Produced and directed by Alison Chernick. c2007. 71 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+7588"">DVD 7588Ж","â€¢149;Matthew Barney"
"The Order: From Matthew Barney's Cremaster 3","A sequence from Matthew Barney's film Cremaster 3. In a death-defying race to the top of the Guggenheim Museum, Matthew Barney is a tartan-clad apprentice seeking Masonic redemption. Special features: Interactive multi-angle video presentation, commentary track by director Matthew Barney, new music remixes, Cremaster cycle trailer. c2003. 31 min. 
Ж","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+1840"">DVD 1840Ж","â€¢149;Matthew Barney"
"SEE Ѭ href=""#livingtheatre"">Living TheatreЖ Ж","â€¢149;Julian Beck"
"See also:","â€¢149; Ѭ href=""#firstdecade"">Surveying the First Decade: Video Art and Alternative Media in the U.S.Ж","â€¢149; Lynda Benglis"
"Female Sensibility","1973, 14 min. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X183"">DVD X183Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+9406"">Video/C 9406Ж","â€¢149; Lynda Benglis"
"From the Heart","This film explores twentieth-century art by women, focusing on nine of the thirteen artists whose works compose the Gihon art collection: Works by Women ( Lynda Benglis, Lynda, Nancy Chambers, Clyde Connell, Janet Fish, Janet, Hermine Ford, Dorothy Hood, Dorothy, Mary F. McCleary, Gael Stack, Dee Wolff). The artists provide the dialogue, about artistic techniques employed, family background, philosophy of art, self-criticism, and success. 1998? 57 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5877"">Video/C 5877Ж","â€¢149; Lynda Benglis"
"Mumble","A part of an ongoing video correspondence with sculptor, Robert Morris, this film brings together repeated scenes and gestures, featuring Morris and Jim Benglis, the artist's brother, and a narrative of irrelevant, confusing and often purposefully untrue statements. Although the viewer is inclined to accept Benglis' narrative as true, such trust is called into question by her statements about actions taking place off camera which cannot be verified. As Benglis' narration degenerates into a meaningless, repetitive pulse, Mumble disrupts the convenient fiction that the image presented on screen is complete unto itself. (Purchased with Stuart and Gail Buchalter Fund for the Study of Contemporary Art) 1972. 21 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5211"">Video/C 5211Ж","â€¢149; Lynda Benglis"
"Now","Throughout this video, Benglis asks ""Now?!"" as she makes faces and sounds and even kisses her own image on a monitor. The word ""Now"" used here as both question and command focuses attention on the deceptive ""real"" time of video. As her first color tape, Benglis experiments with the effect of unnatural color, turning up the levels until the colors are very high and artificial, which again disperses the idea of video as an impartial or ""direct"" medium. 1973. (Purchased with Stuart and Gail Buchalter Fund for the Study of Contemporary Art) 13 min. 
Ж","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5208"">Video/C 5208Ж","â€¢149; Lynda Benglis"
"Ah!: The Hopeful Pageantry of Bread & Puppet>","A semi-documentary of the Bread and Puppet Domestic Resurrection Circus, filmed from 1990 to 1998. Drawn from more than 200 hours of documentation of the last 8 years of the Bread and Puppet's Domestic Resurrection Circus, it demonstrates how papermache and burlap are transformed into dragons, giants and goddesses. A film by DeeDee Halleck and Tamar Schumann. 2002. 84 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM1137"">Video/C MM1137Ж","â€¢149;Bread and Puppet Theater"
"Brother Bread, Sister Puppet","Documents the Bread & Puppet Theater Company's 1988 Our Domestic Resurrection Circus, an annual event held at the Company's home in northern Vermont. Members of the Company discuss the political and personal reasons for their involvement in it and how they create the puppets, posters, music, etc. which are used in its performances. 59 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4078"">Video/C 4078Ж","Related web sites:","â€¢149;Bread and Puppet Theater"
"A Convention of the Gods","A morality play in which the gods Wind, Progress, Hope, Phobia, and Terminator convene to preside over the sacrifice of the people of Saravejo, Bosnia. Includes narrative comments by the theater's director, Peter Schumann. Taped at the Bread & Puppet Domestic Resurrection Circus on August 14, 1993. 27 min. 
Ж","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5130"">Video/C 5130Ж","â€¢149;Bread and Puppet Theater"
"Conversations About Theater.","Margaret Croyden talks with British theatrical director, Peter Brook, upon his return from Africa with the members of his International Center of Theatre Research, a group of actors based in Paris. In this extensive interview Brook explains his views on theater, cross-cultural performances, improvisation, Shakespeare, and working with young actors. Videocassette release of a film originally shown on the CBS television show Camera Three, in 1973. 28 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5185"">Video/C 5185Ж","â€¢149;Peter Brook"
"The Empty Space","Peter Brook created the International Centre of Theatre Research in Paris in 1970. In the autumn of 1973, the Centre conducted a five week work period at the Brooklyn Academy of Music, performing and giving demonstrations of exercises, in which members of the audience participated, and exchanged ideas with the New York theatre community. This film of one days work features a dozen members of Brook's acting company, including Helen Mirren, working with four musicians and noted composer Elizabeth Swados. 60 min. 
Ж","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+6030"">Video/C 6030Ж","â€¢149;Peter Brook"
"Willoughby Sharp Videoviews Chris Burden.","Willoughby Sharp conducts an informal interview with modern artist and performer, Chris Burden. (Purchased with Stuart and Gail Buchalter Fund for the Study of Contemporary Art) 1975. 28 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5241"">Video/C 5241Ж","â€¢149;Chris Burden"
"Chris Burden.(On art and Artists)","In this documentary Chris Burden talks about his works of the past twenty years, from the performances of the seventies to the sculpture and installations of the eighties. (Purchased with Stuart and Gail Buchalter Fund for the Study of Contemporary Art)1989. 28 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5145"">Video/C 5145Ж","â€¢149;Chris Burden"
"Chris Burden: Documentation of Selected works 1971-1975","Presents eleven body art/performance pieces, introduced and narrated by the artist. 220 -- Shoot -- Bed piece -- Deadman -- Fire roll -- Icarus -- B.C. Mexico -- Through the night softly -- TV ad -- Back to you -- Velvet water. 35 min. 
Ж","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM868"">Video/C MM868Ж","â€¢149;Chris Burden"
"Burning Man Beyond Black Rock, An Authorized Documentary","Featuring: Larry Harvey, David Best, Marian Goodell, Will Roger, Harley Dubois, Danger Ranger, Crimson Rose. For seven days and nights, Black Rock City in Nevada stands as a community free of commerce, bound by a social contract of tolerance and cooperation, dedicated to art and self-expression. Then it disappears without a trace. The filmmakers spent 18 months with the founders, organizers, artists and participants to document the full complexity and diversity of the Burning Man community ... and their plans to bring its unique culture to the rest of the world. Special features: Over 2 hours of deleted scenes; extended interviews with the cast; outtakes; bonus 16-minute short film ""Preacher with an unknown God."" 2006. 106 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+6864"">DVD 6864Ж","â€¢149;Burning Man Festival"
"Burning Man Festival, 1994.","A stunning visual portrait of the Burning Man Festival in Nevada's Black Rock Desert. Includes interviews with the creators of various performance art pieces. See a jet-propelled rocket car, a giant shark car, a dragon spouting fire, decorated ""art cars"", buses and persons. Concludes with the ritual destruction of a 4 story tall Burning Man. One of the most unique cultural events in late 20th century American culture. 48 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4774"">Video/C 4774Ж","â€¢149;Burning Man Festival"
"The Burning Man Festival [1996]","Burning Man festival (40 min.) -- Burning man: just add couches (50 min.) Commentary: Larry Harvey (director, Burning Man festival), John Law (technical director) Burning man festival: An indepth look at the Festival described as semi-structured anarchy; ""a laboratory ... for reinventing civilization."" Shows the construction of the 4 story high ""Man"" with interviews with the director of the festival, technical director and construction forman of ""The Man."" In ""Just add couches"" Joe Winston and his friends return to the festival and create the ""Couch potato camp."" ""What this festival really needs is a living room setting, where people can watch TV and drink beer,""....which is harder than it looks with the nearest hardware store 50 miles away. c1997.   (Burning Man Fesival only) Ж","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+6863"">DVD 6863Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+8366"">Video/C 8366Ж","â€¢149;Burning Man Festival"
"Reports from L.A. Ѭ href=""#2moon"">See Two Moon JulyЖ","True StoriesЖ.","Performers: John Goodman, Annie McEnroe, Swoosie Kurtz, Spalding Gray, Pops Staples, Tito Larriva, David Byrne. Episodic stories showcasing amiable and offbeat characters such as the world's laziest woman and 50 sets of twins. 89 min.  Ж Ж","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+999:1081"">Video/C 999:1081Ж","â€¢149;David Byrne"
"See Ѭ href=""http://www.lib.berkeley.edu/MRC/music.html#experimental"">Musical Traditions of the World/Experimental MusicЖ Ж","â€¢149;John Cage"
"Three Transitions.","In three short exercises, Campus uses basic techniques of video technology and his own image to create succinct, almost philosophical metaphors for the psychology of the self. In the first ""transition,"" he appears to stab himself in the back, climb through the rupture in his body, and emerge whole on the other side. In the second execise, Campus wipes his face with his hand and ""erases"" its surface--only to reveal another image of his face underneath. Finally in conclusion, he appears to burn the living image of his face (as if it were a photograph), leaving only blackness. (Purchased with Stuart and Gail Buchalter Fund for the Study of Contemporary Art) 5 min.  Ж","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5153"">Video/C 5153Ж","â€¢149;Peter Campus"
"The Cost of Living","The work of the dance troupe DV8 Physical Theatre is about taking risks -- both physical and aesthetic. It is about personal politics, about breaking down barriers between dance and theatre and, above all, about communicating ideas and feelings clearly and unpretentiously. The company tells stories through extended naturalistic movement in a radical yet accessible way, rejecting the traditional conventions of ballet and modern dance. The Cost of Living highlights the troupe in a story about two dancers, Eddie, a tough confrontational guy and David, a legless dancer who is determined not to let his disability or society's prejudices get him down. DV8 Theatre: Eddie Kay, David Toole, Vivien Wood, Tanja Liedtke, Rowan Thrope, Kareena Oates, Tom Hodgson, Jose Maria Alves, Robin Dingemans and Eddie Nixon. 2004. 35 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+5289"">DVD 5289Ж","â€¢149;DV8"
"Dead Dreams of Monochrome Men","Performers: Lloyd Newson, Nigel Charnock, Russell Maliphant, Douglas Wright. ""Dead Dreams of Mononochrome Men explores the grisly world of the notorious serial killer Dennis Nilsen. Founded upon the conviction that societal homophobia is bound to result in tragic consequences, it gets to grips with the disturbing forces that drove Nilsen to kill for company ..."" 1990. 52 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM809"">Video/C MM809Ж","â€¢149;DV8"
"Enter Achilles","Performers: Gabriel Castillo, Jordi Cortes Molina, Juan Kruz Diaz de Garaio Esnaola, David Emanuel, Ross Hounslow, Jeremy James, Liam Steel, Robert Tannion. ""A funny, cruel exploration of the male psyche, Enter Achilles is set in a typical British pub: pop songs blare out of the jukebox, there is football on TV, and eight men lark around, pint glasses in hand. But their blokeish fun is balanced on a knife-edge of tension, for beneath their apparent friendship lurks a disturbing undercurrent of paranoia and insecurity."" 1996. 48 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM808"">Video/C MM808Ж","â€¢149;DV8"
"Strange Fish","Performers: Kate Champion, Nigel Charnock, Jordi Cortes Molina, Wendy Houstoun, Melanie Pappenheim (vocals), Diana Payne-Myers, Lauren Potter, Dale Tanner. ""The nature of our quest for someone to love and someone, or something, to believe in. The tyranny of couples and groups, the pain of not belonging and the terror of being alone are all laid bare in a series of powerful images which are both pitiless and profoundly compassionate."" c1993. 56 min.  Ж","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM810"">Video/C MM810Ж","â€¢149;DV8"
"See Ѭ href=""http://www.lib.berkeley.edu/MRC/pomo.html#export"">Film/VideomakersЖ
Ж","â€¢149;Valie ExportЖ"
"Alive & Kicking: New Dance & Performance Art from P.S. 122 in New York City","""Excerpts from 'The American Chestnut' written and performed by Karen Finley; visual art and video by Karen Finley.""--Closing credits. Three tapes, 29 min. each: Alive & Kicking #34, #35, #36. 87 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+6062"">Video/C 6062Ж","â€¢149;Karen Finley"
"Karen Finley.","An interview with the American artist, Karen Finley. 47 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4165"">Video/C 4165Ж","â€¢149;Karen Finley"
"Karen Finley Live","Make love: A live stage performance by performance artist Karen Finley, concerning the September 11, 2001 terrorist attacks. Shut up and love me: A live stage performance by performance artist Karen Finley, concerning female sexuality. Make love (2003, 80 min.) / Perfect Day Films presents ; written and performed by Karen Finley ; main camera, Timothy Greenfield-Sanders ; producers, Karin Greenfield-Sanders, Timothy Greenfield-Sanders -- Shut up and love me (2001, 60 min.) / written and performed by Karen Finley ; video directed by Timothy Greenfield-Sanders ; producers, Karin Greenfield-Sanders, Timothy Greenfield-Sanders ; Perfect Day Films. Special features: ""Honey"" (photo shoot from the set of Shut up and love me, 2001, 13 min.); deleted scene (from Shut up and love me, [2001], 8 min.); photo gallery (14 images, 1 min.). 
Ж","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X4418"">DVD X4418Ж","â€¢149;Karen Finley"
"Flux Concert","On March 24, 1979, The Kitchen hosted a concert of reconstructed historical Fluxus performances. Over forty short pieces by thirty artists and composers were performed (with occasional assistance from the audience). Among the pieces featured were compositions by reknowned Fluxus artists Yoko Ono, Ben Vautier, Le Monte Young and George Maciunas. Performers include Simone Forti, Dick Higgins, Yoshi Wada and Geoff Hendricks. Dist. Ѭ href=""http://www.eai.org/eai/"">Electronic Arts Intermix.Ж 82 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM1059"">Video/C MM1059Ж","â€¢149;FluxusЖ"
"Fluxfilm Anthology.","A collection of over 30 films, ranging from 10 secondsto 10 minutes, all celebrating the ephemeral humor ofthe Fluxus movement. George Maciunas (1931-78) editedtogether films by himself, Albert Fine, Eric Andersen,Dick Higgins, George Brecht, Robert Watts, Joe Jones,James Riddle, Wolf Vostell, George Landow, PeterKennedy (and Mike Parr), Peter Vanderbeek, JohnCavanaugh, Jeff Perkins, Nam June Paik, Chieko Shioni, Paul Sharits, Yoko Ono, John Cale, andothers. Selected and arranged by Larry Miller and Ken Friedman. 150 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5057"">Video/C 5057Ж","â€¢149;FluxusЖ"
"The Misfits: 30 Years of FluxusЖ.","Film portrays a group of artists (Eric Andersen, Philip Corner, Henry Flynt, Ken Friedman,Jon Hendricks, Dick Higgins, Alison Knowles, Jackson Mac Low, Jonas Mekas, Yoko Ono, Nam June Paik, Ben Patterson, Willem De Ridder, Ben Vautier, EmmettWilliams, La Monte Young) who since the early can be. In large part filmed in Venice in 1990, when many of the original Fluxus artists met to hold a large exhibition almost 30 years after the first highly untraditional Fluxus' performances. 80 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3402"">Video/C 3402Ж","â€¢149;FluxusЖ"
"Some Fluxus.","Eric Andersen, George Brecht, Philip Corner, Jean Dupuy, Dick HIggins, Joe Jones, Mieko Shiomi, Ben Vautier, Robert Watts. This video documentary features performance works by numerous Fluxus artists juxtaposed with excerpts from Miller's 1978 Interview with George Maciunas, providing historical contextualization for this influential movement. Dist. Ѭ href=""http://www.eai.org/eai/"">Electronic Arts Intermix.Ж 1991. 59 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM1058"">Video/C MM1058Ж","â€¢149;FluxusЖ"
"Zefiro Torna or Scenes from the Life of George Maciunas.","A film diary of George Maciunas taken between 1952 and 1978. Includes footage of his parents, footage of various Fluxus events and scenes from Maciunas' private life and friends. Soundtrack is the madrigal Zefiro torna by Monteverdi. 35 min. 
Ж","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3982"">Video/C 3982Ж","â€¢149;FluxusЖ"
