"Source:","http://www.lib.berkeley.edu/MRC/language.html"
"
Language and Communication
"A Brief History of Slang","Slang expert, Jonathon Green, explores the history of English slang and its use around the world including many varieties of slang languages for example the insider language of the American mafia and the development of ""rap"" lyrics. 1996. 26 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+7382"">Video/C 7382Ж","Language and Communication"
"Chimp Talk.","Paul Hoffman, editor of Discover magazine, explores the issue of language use by apes with primatologist Sue Savage-Rumbaugh and Laura Ann Petitto. Their 20 year study with chimpanzees reveal that they can use language with the accuracy of a two-year-old human, which includes a rudimentary syntactical ability. 14 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+6220"">Video/C 6220Ж","Language and Communication"
"Communication: The Nonverbal Agenda","hows the value of understanding nonverbal content in communication by analyzing and interpreting nonverbal messages by employees in a work environment. Originally produced in 1974 by Ziff-Davis Publishing Co., revised in 1998. 30 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+9887"">Video/C 9887Ж","Language and Communication"
"Counseling and Advice Across Cultures","First segment: Extracts from live interviews videotaped in a neighborhood Advice Office and an Asian Resource Center in the United Kingdom. Second segment: Examines samples of crosscultural communication in a banking transaction and in job recruitment interviews with West Indian candidates to analyze communication difficulties which can arise even when both sides start with goodwill. Third segment: Two University professors comment on multicultural communication. 1991. 78 min.  [preservation copy] ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+8808"">DVD 8808Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+6622"">Video/C 6622Ж","Language and Communication"
"Crosstalk (Counseling and Advice Across Cultures)","First segment: Extracts from live interviews videotaped in a neighborhood Advice Office and an Asian Resource Center in the United Kingdom. Second segment: Examines samples of crosscultural communication in a banking transaction and in job recruitment interviews with West Indian candidates to analyze communication difficulties which can arise even when both sides start with goodwill. Third segment: Two University professors comment on multicultural communication. 1991. 78 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+6622"">Video/C 6622Ж","Language and Communication"
"Crosstalk at Work","Part 1. Performance appraising across cultures; Part 2. Recruitment interviewing across cultures. This program looks at misunderstandings and communication failures in business caused by cultural differences. It focuses on problems in America for those of Chinese and Korean origin. Using footage of performance assessment in the Bank of America, it explains how different cultural outlooks can lead to unconscious communication breakdown. [2 videocassettes]. 54 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+6135"">Video/C 6135Ж","Language and Communication"
"Crosstalk, Multi-racial Britain","This film explores some of the differences and difficulties involved in cross-cultural communication in Britain with particular emphasis on South Asians. It looks at the different types of misunderstandings which result from the different ways people from different ethnic groups use the English language. c1979. 30 min.  [preservation copy]; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+7101"">DVD 7101Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+9942"">Video/C 9942Ж","Language and Communication"
"Deaf Culture Series.","40 min. each installment","â€¢149; An Introduction to American Deaf Culture, 3. Language and Traditions. This program discusses the use of special vocabularies in sign language and the relationship between language of the deaf and culture. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3145"">Video/C 3145Ж","â€¢149; An Introduction to American Deaf Culture, 4. Group Norms. Discusses deaf culture and how deaf individuals interact with the environment. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3146"">Video/C 3146Ж","â€¢149; An Introduction to American Deaf Culture, 5. Identity. Discusses group membership in a deaf culture and identity as a deaf person. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3147"">Video/C 3147Ж","Language and Communication"
"The Developing Child. Language Development. (Discovering Psychology; 5-6).","Details the impact of heredity and environment on children's development as it explores the nature vs. nurture debate. Program 6 describes how psychologists search for truths about the mind, society, and culture by studying how children develop complex language skills and use language in social communication. 56 min. :5-6","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3953"">Video/C 3953Ж","â€¢149;Ѭ href=""http://www.learner.org/resources/series138.html"">This series available for online viewingЖ (Requires initial registration at site)[Requires Windows Media player]","Language and Communication"
"Diverted to DelhiЖ","The toll-free telephone numbers used to place orders are often answered thousands of miles away by Indians trained to speak and think like Americans, or Brits or Australians. This film follows a group of university graduates through a rigorous 3-week course which they hope will prepare them for prestigious, well paying positions in these call centers. Over 200 of the U.S. Fortune 500 companies now choose to service their clients via Indian call centers where labor and set-up costs are low and the staff highly educated. c2002. 55 min.  


Related web sites:
â€¢149; Ѭ href=""http://www.filmakers.com/index.php?a=filmDetail&filmID=1224"">Description from Filmakers Library CatalogЖ

","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X1893"">DVD X1893Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+9721"">Video/C 9721Ж","Language and Communication"
"Do You Speak American?","â€¢149; Episode 1: Up North. Robert MacNeil canvasses the North to learn firsthand about linguistic dialect zones, the tension between prescriptivism and descriptivism, the impact on dialect, the northern cities vowel shift, the roots of African-American English, minority linguistic profiling, biases against nonstandard speech, and the general perception of the U.S. Midland dialect as ""normal American."" Hip-hop street talk, IM slang, Pittsburghese, and Gullah and Geechee are sampled. Features Bill Labov, the dean of American linguists; Jesse Sheidlower, American editor of the august OED, plus other authorities on the English language. 2005. 57 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+3602"">DVD 3602Ж","â€¢149; Episode 2: Down South. Follows Robert MacNeil as he travels down the Ohio and Mississippi Rivers to Appalachia, Louisiana Cajun country, and the Tex-Mex border to examine Southern dialects and accents and the influences of French and Spanish on American English. Linguist Walt Wolfram, columnist Molly Ivins, pop country singer Cody James, and others talk about regional differences in vernacular, the steady displacement of Southern coastal dialect by inland dialect, the accents of JFK and LBJ, and the Texas border town of El Cenizo, where Spanish is the official language. Includes recordings of Eudora Welty and Appalachian storyteller Ray Hicks, as well as WPA recordings from around 1940. 2005. 57 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+3602"">DVD 3602Ж","â€¢149; Episode 3: Out West. In this program, Robert MacNeil heads to California to take part in meaningful dialogues on Spanglish, Chicano, Ebonics, and ""Surfer Dude"" before going to Seattle to consider the implications of voice-activation technology. Linguist Carmen Fought, Stanford University's Cliff Nass, screenwriters Amy Heckerling and Winnie Holtzman, and others speak their minds about Spanish in America, why teens create their own language, gay self-empowerment by redefining discriminatory terms and whether technology will reinforce or weaken racial/regional stereotypes. The teaching of English without devaluing or denigrating cultural linguistic differences is addressed. 2005. 57 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+3602"">DVD 3602Ж","Language and Communication"
"East and West","Through careful studies conducted in the US, UK and East Asia, researchers came to the surprising conclusion that in many aspects, people from the ""East"" and people from the ""West"" think in diametrically opposite ways. Scientists determined that cultural differences trump theories that the brain's thought processes operate in much the same manner for all people. As cultures and economies become more interwoven, it is increasingly important to understand these differences and how they might affect communication and negotiations in both social and business settings. Contents: Disc. 1. Episode 1. Westerners see nouns, easterners see verbs (46 min.) -- Disc. 2. Episode 2. Westerners want to see, easterners want to be (46 min.) 2009. 92 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X2283"">DVD X2283Ж","Language and Communication"
"The English-speaking Amendment.","This program examines a proposed amendment which would mandate that English be the official language of the United States; guests presented arguments pro and con on this issue. 1986. 28 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC1920"">Video/C1920Ж","Language and Communication"
"Family Across the Sea.","Film examines how scholars have uncovered the remarkable connections between the Gullah people of South Carolina and the people of Sierra Leone and how the Gullahs incorporated many aspects of African culture including the language into the daily life of the plantations. Film concludes with a delegation of Gullah people traveling from the United States to Sierra Leone to trace the roots of their heritage. 56 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3782"">Video/C 3782Ж","â€¢149; CINE Film & Video Awards 1991 (Golden Eagle).","â€¢149; American Film & Video Festival 1992 (Blue Ribbon).","â€¢149; National Educational Film & Video Festival 1991 (Silver Apple).

Related web sites:
â€¢149; Ѭ href=""http://www.newsreel.org/films/family.htm"">Description from California Newsreel catalogЖ



Full-text review from:
â€¢149; Ѭ href=""http://www.lib.berkeley.edu/MRC/FamilyAcrossSea.html"">ABC-CLIO Video Rating Guide for LibrariesЖ

","Language and Communication"
"The First Signs of Washoe","Alan and Trixie Gardner work with a baby chimpanzee who has been taught to communicate through sign language. Research with other chimpanzees is shown and it is suggested that from this research into the learning process, new approaches will be learned for teaching the disabled and retarded. 60 min.  [preservation copy] ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X1266"">DVD X1266Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+89"">Video/C 89Ж","Language and Communication"
"From Language to Language (Misafa lesafa)","For centuries, Hebrew was a sacred language, a written language of prayer and scripture. But today it is also the language of everyday life in Israel. Nurith Aviv, Israeli writers, musicians, actors and a Rabbi/philosopher from varying countries and ethnic backgrounds discuss the relationship between their mother tongues and Hebrew. Featuring: Aharon Appelfeld, acclaimed for his literary explorations of the Holocaust; actress Jenya (Evgenya) Dodina; Rabbi and philosopher Daniel Epstein; poet Salma-n Musa-lahah; poet and translator Agi Mishol; singer Amal Murkus; poet and Professor of Jewish Thought Haviva Pedaya; and Meir Wieseltier, a member of the early Sixties ""Tel Aviv Poets"" group. Written and directed by Nurith Aviv. 2005. 56 min. 

Related web sites:
â€¢149;Ѭ href=""http://icarusfilms.com/new2005/fltl.html"">Description from Icarus Films catalogЖ


","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X3848"">DVD X3848Ж","Language and Communication"
"Gender and Communication: Male-Female Differences in Language and Nonverbal Behavior","Explores male-female differences in communication and the impact that gender has on both verbal messages including speech, language, and vocabulary, as well as on nonverbal channels of communication such as touch, movement, and gesture. Directed by Dane Archer. c2001. 42 min.  

Related web sites:
â€¢149; Ѭ href=""http://www.berkeleymedia.com/catalog/berkeleymedia/films/communication/language_linguistics/gender_and_communication_malefemale_differences_in_language_and_nonverbal_behavior"">Description from Berkeley Media catalogЖ


","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+8344"">DVD 8344Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+9099"">Video/C 9099Ж","Language and Communication"
"The Global Tongue: English","English is now the dominant language spoken by over a billion people with nearly as many speaking English as a second language as there are native speakers. This program looks at the different contexts and countries in which the English language dominates education, pop music, advertising, and the Internet. It explores the pros and cons of this dominance and the ways in which it is actually changing the English language. 1997. 25 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5607"">Video/C 5607Ж","Language and Communication"
"Glossolalie","Examines language and communication, and looks at ""imaginary languages."" A film by Erik Bullot. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+8814"">DVD 8814Ж","Language and Communication"
"Gullah Tales","Gullah tales is a film fable set in 1830's in Southern Georgia and South Carolina and is based on folklore of peoples of African descent. 30 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+2880"">Video/C 2880Ж","Language and Communication"
"Hablas Ingles?","Examines bilingual education in the U.S., focusing on the arguments for and against a constitutional amendment to make English the official language of the United States. Includes interviews with Linda Chavez, president of U.S. English, and Juan Cartagena, of the Puerto Rican Legal Defense Fund. 26 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC1922"">Video/C1922Ж","Language and Communication"
"History of the English Language: Over a Thousand Years.","Compares the differing versions of the story Solomon's Wisdom, from the 450 A.D. version to 1976. 1991. 28 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+2418"">Video/C 2418Ж","Language and Communication"
"The Human Language Series.","Explores human language, its origins, acquisition and evolution. Contents: Pt. 1. Discovering the human language: Colorless green ideas. --Pt. 2. Acquiring the human language: Playing the language game. -- pt. 3. The human language evolves: With and without words. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3505"">Video/C 3505Ж","Language and Communication"
"The Human Face","A four-part television documentary combining interviews and humorous sketches to explore the human face from every angle -- cultural, historical, biological, physiological and psychological. Special features: Photo gallery ; deleted scenes ; fact files ; interactive menus ; scene selection ; interviews from the series ; biographies. John Cleese, presenter; featuring guest appearances by Elizabeth Hurley, Michael Palin, Pierce Brosnan, Candice Bergen. 2 discs. 195 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+826"">DVD 826Ж","Language and Communication"
"The Human Face: Emotions, Identities and Masks.","Contents: The organ of emotion -- True emotion vs. masks -- Culture and the face -- The Face as it ages -- Identity -- Pupil size -- Reading the face -- Facial mythology -- Hair -- Beauty -- Manufactured beauty -- Piercing the face.
The face is the 'organ of emotion,' and we constantly read facial expressions to understand what others are feeling. The face also contains other powerful clues. Our identity is captured in our features. Our eyes can reveal important truths about us, even those we would prefer to conceal. Our face also plays a critical role in physical attractiveness. Created and produced by Dane Archer, 1996. 31 min.  

Related web sites:
â€¢149; Ѭ href=""http://www.berkeleymedia.com/catalog/berkeleymedia/films/communication/nonverbal_communication/the_human_face_emotions_identities_and_masks"">Description from Berkeley Media LLP catalogЖ

","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+8357"">DVD 8357Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5934"">Video/C 5934Ж","Language and Communication"
"The Human Voice: Exploring Vocal Paralanguage.","Contents: Biographic clues in our voices -- Our paralanguage identity -- Can paralanguage be stolen? -- My English, your English, and standard English -- Changing accents -- Emotion and the human voice -- Famous paralanguage -- Sarcastic paralanguage -- Motherese and fatherese -- Lies, liars, and lying -- Dysfluent paralanguage -- Other 'dialects' in paralanguage.
Explores the voice as an extraordinary human instrument. When we speak, our voice reveals our gender, age, geographic background, level of education, emotional state, and our relationship with the person spoken to. All these clues (and many more) are contained in even small fragments of speech, because our voices can be interpreted with remarkable accuracy. This video, explores the power, dimensions, and facets of this uniquely human instrument. Created and produced by Dane Archer, 1993. 30 min.  

Related web sites:
â€¢149; Ѭ href=""http://www.berkeleymedia.com/catalog/berkeleymedia/films/communication/language_linguistics/the_human_voice_exploring_vocal_paralanguage_"">Description from Berkeley Media LLC catalogЖ

","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+8358"">DVD 8358Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3505"">Video/C 3505Ж","Language and Communication"
"The Ideas of Chomsky.","Linguist and political activist Chomsky challenges accepted notions of the way in which language is learned, examines the relationship of language to experience, and discusses the philosophical nature of knowledge. 47 min. ; also on VHS ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+2102"">DVD 2102Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+8346"">Video/C 8346Ж","Language and Communication"
"In the Land of the Deaf","Documentary explores deaf life and culture in France, and the growning controversy involving ""curing"" deafness. Includes portraits of a charismatic sign language teacher and a women treated as mentally ill because her hearing problem was misdiagnosed, a young man who remembers the first horrifying experience of hearing with an aid, and a newlywed deaf couple trying to communicate with a real estate agent. 99 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4866"">Video/C 4866Ж","Language and Communication"
"In Search of the First Language. (NOVA)","Discusses the research that has been done on tracing the roots and families of languages, specifically the Indo-European and the Sino-Tibetan. Shows how certain words, through their sound and grammar can be considered part of a common family, and the evolution or death of a language through time. 54 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4334"">Video/C 4334Ж","Language and Communication"
"The Interpersonal perception task (IPT))","A test designed to find out how people form perceptions of others. Consists of thirty brief scenes showing people in various interactions. Each scene is preceded by a question about the interaction taking place. Based on a research approach developed for the Social Interpretation Task (SIT) by Dane Archer and Robin Akert. c1986. 40 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+8365"">DVD 8365Ж","Language and Communication"
"The Interpersonal Perception Task-15 (IPT-15)","A ""self-test"" of nonverbal communication and social perception skills which allows viewers a chance to interpret verbal and nonverbal behaviors. Film shows 15 brief scenes of common social interactions each followed by a multiple-choice question, giving the viewer the chance to ""decode"" something important about the interaction. There is an objectively correct answer for each of the inferences tested and viewers can see how accurate their own interpretations are. 1993. 20 min.  

Related web sites:
â€¢149; Ѭ href=""http://www.berkeleymedia.com/catalog/berkeleymedia/films/communication/nonverbal_communication/the_interpersonal_perception_task"">Description from Berkeley Media LLP catalogЖ

","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+8366"">DVD 8366Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3620"">Video/C 3620Ж","Language and Communication"
"Into the Future: On the Preservation of Knowledge in the Electronic Age","Discusses the hidden crisis of digital information. Will the information stored electronically still be accessible in the future? Will humans twenty, fifty, one hundred years from now have access to the electronically recorded history of our time? Surveys what has happened to other forms of information storage such as reel to reel, magnetic tapes and other obsolete formats. c1997. 30 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5391"">Video/C 5391Ж","Language and Communication"
"An Introduction to American Deaf Culture, 1. Rules of Social Interaction.","Provides an introduction to social interaction among deaf people. Includes introductions, attention-getting behavior, leave-taking behaviors, and information about TTY's. Each topic is introduced through the use of demonstrations, role playing, and interviews. 34 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3143"">Video/C 3143Ж","Language and Communication"
"An Introduction to American Deaf Culture, 2. Values.","Describes some of the unique values subscribed to by deaf people and the deaf community. 40 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3144"">Video/C 3144Ж","Language and Communication"
"An Introduction to the Deaf Community.","Provides a basic overview of the culture of deaf people and American sign language in America. Explores stereotypes of deaf persons, provides tips and pointers to hearing individuals on communicating with deaf persons, provides information about national and international organizations of and for deaf people, and suggests employment opportunities. 25 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3142"">Video/C 3142Ж","Language and Communication"
"Invisible Walls.","Records an experiment in proxemic-behavior, demonstrating how unsuspecting subjects react when their personal space is violated. Shows how American patterns of social interaction depend on non-verbal communication and the assumptions people make about each other. Focuses on common American beliefs about personal space, showing that people encase themselves in invisible walls which they erect about 18 inches from their bodies. Directed by Richard A. Cowan. 1967? 12 min. 
© UC Regents
â€¢149;Ѭ href=""http://sunsite.berkeley.edu/videodir/asx2/mm747.asx"">View this video onlineЖ 
UC Berkeley users only - Requires Ѭ href=""http://www.microsoft.com/windows/windowsmedia/default.mspx"">Windows Media PlayerЖ or Ѭ href=""http://www.microsoft.com/windows/windowsmedia/player/wmcomponents.mspx"">Flip4MacЖ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM747"">Video/C MM747Ж","Language and Communication"
"Italian Hand Gestures: How to Speak Italian Without Saying a Word!","Presents 30 easy lessons for learning Italian hand gestures and their meanings. ""Now you can understand, celebrate, gesticulate and commemorate our American-Italian heritage."" 1998. 40 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+8638"">Video/C 8638Ж","Language and Communication"
"Journey to Yiddish Land","When the state of Israel was established the Yiddish language was abandoned in favor of modern hebrew, except by the Hasisim. But now renewed efforts are being made in Israel and even Germany to keep the language alive. Including commentary by the director of the Yiddish Theatre in Tel Aviv, this lively film presents Yiddish theater, song and dance, demonstrating how language and cultural identity are intertwinded. c1999. 29 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+7936"">Video/C 7936Ж","Language and Communication"
"Koko: A Talking Gorilla","Presents Koko, a six-year-old gorilla who is the subject of a controversial Stanford University research project. A perceptive simian who communicates with humans via sign language, Koko knows more than 300 signs and can combine them to make new hybrid descriptions. The film also investigates the contradictions that arise when scientific experiments are used to graph human behavior onto animals. 2001. 81 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+8195"">Video/C 8195Ж","Language and Communication"
"Language (The Mind series)","Examines the evolution of human language, the degree to which language shapes human thought, what happens when speech and hearing are absent, and whether animals use language. 60 min.  [preservation copy] :7","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X1436"">DVD X1436Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+1301"">Video/C 1301Ж","Language and Communication"
"Language.","This program demonstrates that language is a powerful medium and one that has an impact on nearly every corner of our culture. Host: Victor Borge. 1982. 30 min. 3/4"" UMATIC format. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+409"">Video/C 409Ж","Language and Communication"
