"Source:","http://www.lib.berkeley.edu/MRC/SSEAsiaVid.html"
"

"
"Contents:","â€¢149;Ѭ href=""#India"">South Asia: Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri LankaЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/sseasianamvid.html#south"">South Asian DiasporaЖ (separate page)
","â€¢149;Ѭ href=""#nepaltibet"">Tibet and NepalЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/SSEAsiaVid2.html"">Vietnam, Laos, Cambodia, Thailand, BurmaЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/SSEAsiaVid2.html"">Indonesia / East TimorЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/SSEAsiaVid2.html"">Australia/MelanesiaЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/SSEAsiaVid2.html"">MalaysiaЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/SSEAsiaVid2.html"">PhilippinesЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/SSEAsiaVid2.html#pacific"">Pacific IslandsЖ"
"See also the following MRC Videographies:","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/AsianAmvid.html"">Asian American StudiesЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/indianfilm.html"">South and East Asian cinemaЖ - films by South/Southeast Asian filmmakers","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/imagesasians.html"">The Movies, Race, and Ethnicity - a listing of movies with South/Southeast Asian diaspora themesЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/ReligionVid.html"">Religions and Myths of the WorldЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/EthnographyVid.html"">Ethnography and Folk CultureЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/PACSVid.html#viet"">Peace and Conflict StudiesЖ - documentaries and movies on the Vietnamese War"
"Ashes in the River: Four Religions of India","Dist: Ѭ href=""http://www.films.com"">Films Media Group.Ж 1995.","â€¢149; Spiritual India: A Guide to Jainism, Islam, Buddhism, and Hinduism. This program provides an overview of four of India's prominent religions: Jainism, Islam, Buddhism and Hinduism. Stunning footage from around the subcontinent displays India's religious heritage along with its monumental shrines, temples, festivals and sacred rituals all set against the backdrop of the nation's history, geography and rich variety of cultures and languages. 58 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+7357"">Video/C 7357Ж","â€¢149; Jainism: Ascetics and Warriors. Abutting the border of Pakistan, the state of Rajasthan is the home of the Jains, a relatively small but influential indigenous religious group founded by Vardhamana Mahavira. This program profiles Jainism, which espouses salvation by conquering material existence through stict ascetic discipline. The imperative detachment from worldly existence necessary for liberation is explained, as is ahimsa, the doctrine of non-injury to any living thing. 58 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+7358"">Video/C 7358Ж","â€¢149; Islam: The Five Pillars of Faith. Residing to the north of India, the population of Kashmir is primarily Muslim. This program studies the beliefs and practices of Islam in Kashmir. Topics such as the Koran, the Pillars of Islam, the influence of Sharia, and traditional Muslim festivals and holy sites are addressed. Background on the arrival of Islam in Kashmir and its spread throughout India creates a historical context for the religion's predominance in many regions. 52 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+7359"">Video/C 7359Ж","â€¢149;Buddhism: The Great Wheel of Being. This program presents the tenets and history of the belief system founded on the teachings of Buddha as practiced in Sikkim, tucked between Nepal and Bhutan and Darjeeling, located in an adjoining district of West Bengal. A discussion of the Four Noble Truths, including the Eightfold Path, sheds light on the practice of Buddhism in these regions while ancient monuments testify to the enduring nature of the religion. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+7360"">Video/C 7360Ж","â€¢149; Hinduism: Faith, Festivals and Rituals. In Kerala, situated in the southern tip of India, Hinduism is the principal belief. This program examines the multifaceted majority religion of India in this region. Devotional ceremonies and observances of Hinduism and sacred Hindu literature, such as the Ramayana and the Mahabharata, are explored, as are some of the region's ornate temples. The Hindu emphasis on right living, or dharma, is also discussed. 51 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+7361"">Video/C 7361Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Asia, Beyond the Miracle","The Asian continent comprises two-thirds of the world's poor, yet it is the site of continuous phenomenal economic growth. This film examines if such growth can be sustained, particularly without serious damage to the ecology. Shot on location in Hong Kong, India, Indonesia, the Republic of Korea, Nepal and the Philippines. 1997. 15 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM122"">Video/C MM122Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Asia's Water Crisis","Explores the conflict of burgeoning populations and economies in three Asian countries -- Sri Lanka, the Philippines and the People's Republic of China -- and looks toward solutions to Asia's growing water crisis and the diminishing supply of safe, potable water. 1997. 19 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM124"">Video/C MM124Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Assignment: India.","Profiles the country of India through an exploration of such topics as Gandhi's legacy, internal strife within the Muslim faction in India and India's Sikh minority, child labor practices in the carpet industry, silk weaving, bonded laborers in rock quarries, women's search for greater independence, and the pollution of the Ganges River. 1993. 60 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4258"">Video/C 4258Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"At the End of a Gun: Women and War. (Life; 9)","Druki's family fell victim to the bloody civil war between the Tamil Tigers and Sri Lankan government forces that has been tearing the island of Sri Lanka apart for the last 17 years. This program reports from Sri Lanka on the suffering of thousands of women -- widowed, displaced, detained, separated from husbands, children and other loved ones -- as a result of the war. c2000. 24 min. (for other installments of series, see Ѭ href=""http://www.lib.berkeley.edu/MRC/global.html#life"">Global Issues and EventsЖ)","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+7769"">Video/C 7769Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"--aur Irani chai.","Documentary on the migrated Iranians who run cafes (famous for Irani tea) as their family business in Bombay, India. 2004? 20 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+7205"">DVD 7205Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Ayodhya to Varanasi: Prayers for Peace.","A documentary examining the claims of the Ram Temple Movement (Hindutva), an Indian Hindu political movement which began to form in the 1980s. The film begins with the demolition of the Babari Masjid Temple on December 6, 1992, and looks at the symbiotic and cultural bonds among the Hindus and Muslims of Ayodhya, and also the economic downslide in the past ten years. Throughout the message comes out strongly in favour of communal harmony and development, to the divisive ideologies propagated by the Hindutva. 2004. 60 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM174"">Video/C MM174Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Balamaniyamma.","A presentation on the life and works of the Malayalam poetess Balamaniyamma, b. 1909. 1998. 30 min. PAL format. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+6955"">Video/C 6955Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Balancing Acts.(Life; 4)","This program explores the international movement for women's rights. In Pakistan, seventeen-year-old Hina is challenging tradition to complete her education. In Afghanistan, returning refugees like Maa Gul want the government to honor their right to shelter. In Kenya, Rose, who is HIV positive, is championing rights to independence for widows. And in Nigeria, market trader Tematayo is demanding the government acknowledge her worth as a successful businesswoman. Directed by Beena Sarwar, et al. 2005. 23 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+3972"">DVD 3972Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Bangladesh.","A documentary on how one of the poorest nations, with a population of 120 million, managed to creatively tackle the enormous challenge of educating its many children. The program highlights government efforts to make schools more accessible, particularly to girls. One compelling story features Shumi, the daughter of a peddler, who longs for an education and a better life than her parents. 1998. 29 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+6112"">Video/C 6112Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Bangladesh Nationhood--Symbols and Shadows.","A documentary on the struggle of the new nation of Bangladesh to define itself. Reveals, through a series of interviews with peasants, students, businessmen, and religious and political leaders, those conflicts within Bangladesh society that both defined and limited Sheikh Mujib's years in power. 1984. 42 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3776"">Video/C 3776Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Banni Bai and Hari katha","Banni Bai was a traditional storyteller, a practitioner of the classical form of oral performance called Harikatha or the telling of divine stories. She told tales from Hindu mythology and folklore, her narrative interspersed with song and mime. This documentation was done when she was 75 years old when she had stopped going out to give performances but was still able to perform in her own home. She also speaks of herself--how she started learning these songs when she was barely eight years old. Extracts from her performance are interspersed with her delightful personal reminiscences. 1986. 40 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM1221"">Video/C MM1221Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Bearing the Heat: Mother Goddess Worship in South India.","Documents the Hindu celebrations which center around the mother goddess worship of South India. 1994. 60 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5582"">Video/C 5582Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Being Muslim in India.","Presents Islam and the Quran as seen through the lives and perspective of families and individuals in India. 1990. 49 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3775"">Video/C 3775Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Benazir Bhutto.","Former prime minister Benazir Bhutto -- the first female leader of a Muslim country -- discusses her life including the execution of her father, Zulfikar Ali Bhutto, her exile, and her rise to power and subsequent dismissal from office amidst charges of corruption. 1999. 25 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+7039"">Video/C 7039Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Bhakta Dhruva.","In this dramatization of a Hindu legend, Young Dhruva Mahraja after being banned from contact with his royal father by his stepmother, decided to seek a kingdom that would rival that of his father. To obtain this power and position, he went to the forest and performed severe austerities, and ultimately gained a gift that surpassed all his expectations. c1993. 90 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+6952"">Video/C 6952Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Bharat ki chhap.","A film series on the history of science and technology on the Indian subcontinent from pre-history to the present. In Hindi with English subtitles. ca. 52 min. each installment. Ѭ href=""http://www.lib.berkeley.edu/MRC/Science&TechVid.html#Bharat"">See Science and Technology videography for complete contents listingЖ","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Bhavai Folk Theater of Gujarat, India.","Performances of Bhavai, the medieval form of ancient Indian dramatic art, interspersed with commentary by performers, directors and educators. 1994. 24 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4051"">Video/C 4051Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Bhisham Sahni","A presentation on the life and works of the Hindi author, Bhisham Sahni, b. 1915, including interviews with the writer and commentary by East Indian authors, critics and filmmakers. Includes clips from films based on his writings. 29 min. PAL format. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+9592"">Video/C 9592Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Bhopal: The Second Tragedy","More than ten years after ""the world's biggest chemical disaster,"" there remain unresolved serious issues of unpaid damages, legal accountability, environmental reform and institutional failure on the part of Union Carbide, the chemical industry, and the US and Indian governments. Dist: Ѭ href=""http://www.films.com"">Films Media Group.Ж 1995. 54 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4587"">Video/C 4587Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Bhopal: The Search for Justice","This documentary explores the continuing cover-up of the Union Carbide pesticide spill in 1984, analyzes the prospect for environmental and human justice in Bhopal, and exposes the responsibility of the multinational corporations. Twenty years later, amid charges of corruption, graft and suppression of medical and environmental research about the tragedy, the victims are still not adequately compensated or cared for. Directed by Lindalee Tracey, Peter Raymont. 2004. 52 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM930"">Video/C MM930Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
