"Source:","http://www.lib.berkeley.edu/MRC/UShistory.html"
"
U.S. History

"
"See also the following MRC Videographies:","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/the20thcentury.html"">20th Century OverviewsЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/SixtiesVid.html"">1960's videographyЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/50svid.html"">1950's videographyЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/2030svid.html"">1920's/30's videographyЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/USPolitics.html"">US Politics & GovernmentЖ (includes videos about the US Presidency)","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/propaganda.html"">PropagandaЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/AfricanAmVid.html"">African AmericansЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/AsianAmvid.html"">Asian AmericansЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/LatinoVid.html"">Chicanos/LatinosЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/IndigenousVid.html"">Indigenous Peoples of North AmericaЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/JewishVid.html"">Jewish StudiesЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/LaborVid.html"">Labor and Labor HistoryЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/PACSVid.html"">Peace and Conflict StudiesЖ (for World Wars and other US military involvements)","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/terrorism.html"">International TerrorismЖ (for works dealing with 9.11)","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/PopcultureVid.html"">Popular CultureЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/WomenVid.html"">Women's StudiesЖ","U.S. History"
"American Industrial Ballads (Pete Seeger)[SOUND RECORDING]","Contents: Peg and awl -- The blind fiddler -- The buffalo skinners -- Eight-hour day -- Hard times in the mill -- Roll down the line -- Hayseed like me -- The farmer is the man -- Come all you hardy miners -- He lies in the American land -- Casey Jones -- Let them wear their watches fine -- Cotton mill colic -- Seven cent cotton and forty cent meat -- Mill mother's lament -- Fare ye well, old Ely Branch -- Beans, bacon, and gravy -- The death of Harry Simms -- Winnsboro Cotton Mill blues -- Ballad of Barney Graham -- My children are seven in number -- Raggedy -- Pittsburgh Town -- Sixty per cent. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eSound%2FD+69"">Sound/D 69Ж","U.S. History"
"The American Mind","A broad survey of American intellectual history ; a history of the ideas, the thinkers and the institutions that have mattered most to Americans. lecture 1. The intellectual geography of America -- lecture 2. The technology of Puritan thinking -- lecture 3.The enlightenment in America -- lecture 4. Jonathan Edwards and th great awakening -- lecture 5. The colonial colleges -- lecture 6. Republican fundamentals -- lecture 7. Nature's god and the American revolution -- lecture 8. Deism, science, and revolution -- lecture 9 --Hamilton and his money -- lecture 10. Jefferson and his debts -- lecture 11. The Edwardseans, from Hopkins to Finney -- lecture 12. The moral philosophers -- lecture 13. Whigs and democrats -- lecture 14. American romanticism -- -- lecture 15. Faith and reason at Princeton -- lecture 16. Romanticism in Mercersburg -- lecture 17. Slaveholders and abolitionists -- lecture 18. Lincoln and liberal democracy -- lecture 19. The failure of the general elite -- lecture 20. Darwin in America -- lecture 21. Liberalism and the social gospel -- lecture 22. The agony of William James -- lecture 23. Josiah Royce, the idealist dissenter -- lecture 24. John Dewey and social pragmatism -- lecture 25. Socialism in America -- lecture 26. Populists, progressives, and war -- lecture 27. Decade of the disenchanted -- lecture 28. The social science revolution -- lecture 29. The New South versus the new negro -- lecture 30. FDR and the intellectuals -- lecture 31. Science under the cloud -- lecture 32. Ironic judgments -- lecture 33. Mass culture and mass consumption -- lecture 34. Integration and separation -- lecture 35. The rebellion of the privileged -- lecture 36. The neo-conservatives. Lecturer: Allen C. Guelzo, Gettysburg College. 6 videodiscs (ca. 90 min. each) 2005. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+6437"">DVD 6437Ж","U.S. History"
"American Potpourri","Contents: Immigration (1946, 10 min.) -- Our changing family life (1957, 20 min.) -- San Francisco iron workers strike (1917, 6 min.) -- So they tell me (1919, 5 min.) -- Civil War (1954, 15 min.) -- Powers of Congress (1947, 10 min.) -- United Railroad employees strike (1917, 2 min.).
Immigration: European immigrants are spotlighted here in a history which seeks to illustrate how so many people from so many different countries made their way through New York City and Ellis Island to take their places among the ranks of the old immigrant descendants. Our changing family life: Contrasts the nuclear families of the 1950s with those of the 1880s in order to underscore the great societal changes: Women's lib, the industrial revolution, progressive politics and the growth of cities -- that had taken place during the intervening 70 years. San Francisco iron workers strike: Newsreel footage of striking iron workers marching down the cobblestone streets of 1917 San Francisco. Great shots of trolly cars too ... too bad they destroy one. So they tell me: Cartoon produced immediately after WWI which takes stabs at the likes of Eugene Debs, the renaming of popular foods with ethnic combatant nomenclature, arms shipments, Prohibition, Irish republicanism, the Kaiser, the Bolsheviks, Blue Laws, bathing suit taxes and more. Civil War: Color film dramatizing the pivotal moments of the War Between the States with live action and animation. Powers of Congress: Famous Coronet Instruction Films presentation wherein a man dreams of a world without the interference of Congress ... and finds out that the world is awful without it. United Rairoad employees strike: Shot in San Francisco in 1917, this brief newsreel presents marching bands leading disgruntled striking San Francisco laborers. 68 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+2649"">DVD 2649Ж","U.S. History"
"American Social History Project (Who Built America?)","Film series which explores the central role working men and women have played in the key events of American history. 30 min. each installment. 1987.","â€¢149;The Big H. Part one in a film series which explores the central role working men and women have played in the key events of American history. The Big H (""H"" for history) is an introduction to the history of working people and the difficulties of understanding the past.  ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X2343"">DVD X2343Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5826"">Video/C 5826Ж","â€¢149;Tea Party Etiquette This film depicts Boston Tea Party and other events of the American Revolution from the perspective of Boston shoemaker George Hewes.  ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X2339"">DVD X2339Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5827"">Video/C 5827Ж","â€¢149; Daughters of Free Men This film presents working conditions during the 1830's of young girls at the Merrimack Textile Mill in Lowell, Massachusetts. Also depicts a strike by the girls because of poor working conditions and wages.  ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X2342"">DVD X2342Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5828"">Video/C 5828Ж","â€¢149; Doing as They Can. In this segment a fugitive woman slave describes her life, work, and day-to-day resistance on a North Carolina planation during the 1840s and 1850s.  ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X2340"">DVD X2340Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5829"">Video/C 5829Ж","â€¢149;Five Points. This film examines New York City in the 1850s as seen through the conflicting perspectives of a native-born reformer and an immigrant Irish family.  ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X2340"">DVD X2340Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5830"">Video/C 5830Ж","â€¢149; Dr. Toer's Amazing Magic Lantern Show This film examines the struggle to realize the promise of freedom in the years following the Civil War, as depicted by ex-slave J.W. Toer and his traveling picture show. The show featured music and stories of the black people before, during and after the Civil War. Especially focuses on the misrepresentation by the North of the former slaves and the progress of Reconstruction.  ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X2345"">DVD X2345Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5831"">Video/C 5831Ж","â€¢149; 1877, The Grand Army of Starvation This film examines the summer of 1877, in which eighty thousand railroad workers went on strike, and were joined by hundreds of thousands of other Americans. The Great Uprising inaugurated a new era of conflict over the meaning of equality in the industrial age.  ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X2344"">DVD X2344Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5832"">Video/C 5832Ж","â€¢149; Heaven Will Protect the Working Girl In this film photographs, motion pictures and words derived from interviews, memoirs, newspapers and other sources are presented to show the life of immigrant shirtwaist makers in New York City during the first decade of the 20th century. The film illustrates their working conditions, the strike movement and their arrests.  ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X2336"">DVD X2336Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5833"">Video/C 5833Ж","â€¢149;Up South: African-American Migration in the Era of the Great War This film chronicles the migration of 500,000 African-Americans from the South to cities in the North between 1916 and 1921. Mississippians chose Chicago as their destination in the great migration. Their story is told through the recollections of migrants themselves and through letters, oral histories, songs, photographs and art.  ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X2338"">DVD X2338Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5834"">Video/C 5834Ж","U.S. History"
"The Americas in the Revolutionary Era.","Lectures by Marshall C. Eakin. 120 min. each tape.","â€¢149; Lecture 1. Revolutions and wars for independence -- Lecture 2. Origins of revolution in the Atlantic world -- Lecture 3. Colonial empires on the eve of revolution -- Lecture 4. The North American revolution emerges. Revolutions and wars for independence: Sets the major themes of the video series, along with a discussion of the concepts of ""revolution"" and ""wars for independence."". Origins of revolution in the Atlantic world: Looks at the most important transformations that shaped the Atlantic world by the mid-18th century, including the Enlightenment, developing commerce and trade, the industrial revolution and new political theories which ushered in an age of political revolutions. Colonial empires on the eve of revolution: Between 1492 and 1750, the Spanish, Portuguese, French, and English had carved out large colonial empires. This lecture surveys those colonial empires, their dimensions and characteristics in 1750. North American revolution emerges: In the dissimilar American colonies, a sense of unity emerged out of the colonial wars that the English fought, especially with the French in the 1750s and 1760s. These decades precipitated the emergence of a sense of an ""American"" identity among the English colonists, eventually resulting in a move towards independence in 1775 and 1776. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM283"">Video/C MM283Ж","â€¢149;Lecture 5. From Lexington and Concord to Yorktown -- Lecture 6. Radicalism of the American Revolution -- Lecture 7. Slave rebellion in St. Dominigue -- Lecture 8. Haitian Revolution. From Lexington and Concord to Yorktown: Covers the fighting during the American Revolution from Lexington and Concord to the British surrender at Yorktown in 1781, an extraordinary story of a small group of colonials challenging and defeating the most powerful empire in the world. Radicalism of the American Revolution: Discusses the ""meaning"" of the American Revolution. For some, it was a conservative effort by planters to sieze power and control the development of a society already divided between slaves and free men, white and non-whites, and the landed and landless. For others, it represented a radical break with a monarchical past and a move towards a republic and democratic politics. Slave rebellion in St. Dominigue: The Haitain revolution is the only successful slave rebellion in the Americas. This section and the next analyze the only case of slaves rising up, taking power, and creating an independent nation. Also looks at the French revolution and its influence on Saint Domingue, a classic example of the sugar and slave plantation complex in the Americas. Haitian Revolution: In 1791, thousands of slaves rose up in St. Domingue, in a war for their freedom. Amidst the violence, a group of black leaders emerged, the most famous the former slave Toussaint L'Ouverture. Over more than a decade the slaves defeated invading armies from France, England, and Spain, but the black leadership eventually turned against itself in a struggle for control of the revolution. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM284"">Video/C MM284Ж","U.S. History"
"The Anarchist Guest: Emma Goldman","Depicts the life and philosopies of Emma Goldman, an anarchist nicknamed ""Red Emma"" for her radical political views. Follows her tumultuous life from Russia to the United States and her eventual deportation from the U.S. because of her politics. Traces Goldman's journey to the Canadian home where she found exile in her later years. 2000. 42 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+7932"">Video/C 7932Ж","U.S. History"
"Arguing the World","Traces the lives of four of the 20th century's leading thinkers, Daniel Bell, Nathan Glazer, Irving Howe and Irving Kristol. They have been disagreeing with a vengeance since they studied together at New York City College in the 1930s. This film traces their early idealistic days, their controversial role in the McCarthy era, their battle with the New Left in the sixties, and their vastly differing political views today. 1997. 109 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5541"">Video/C 5541Ж","U.S. History"
"An American Ism, Joe McCarthy.","Uses archival film segments and interviews with friends, business associates, and politicians to provide a film biography of Joseph McCarthy. 84 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+124"">Video/C 124Ж","U.S. History"
"The Appalachians.","A 3-part series exploring the political, economic, musical, and spiritual history of the Appalachian region. Dist.: Ѭ href=""http://www.films.com"">Films Media Group.Ж c2006. 53 min. each installment","â€¢149; [Episode 1], The First Frontier. Examines the sophisticated culture of the Cherokee Indians, and the arrival of Europeans, focusing on the influx of Scots-Irish immigrants, their crucial role in the American Revolution and their equally defiant stance against the U.S. government during the Whiskey Rebellion. The Appalachian origins of country music from old world folk tunes are also examined, with attention to the influences of African-American and revivalist religious culture. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+6492"">DVD 6492Ж","â€¢149; [Episode 2], The Fight for Land and Work. Opens with the forced exodus of the Cherokee, followed by examination of Appalachia's role in the racial and ideological tensions leading up to the Civil War. Discussions of race and class-related strife, including the Hatfield-McCoy Feud, are linked with the arrival of railroad, lumber and mining interests in the region -- culminating with the Coal Wars, accompanied by authentic folk songs from the period. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+6493"">DVD 6493Ж","â€¢149;[Episode 3], A Culture of Survival. Examines the 20th century history of Appalachia through the prisms of economic hardship, spiritual perseverance, the region's rich musical heritage and the rise of modern country music by way of radio and phonograph. It also highlights the resonance of long-standing church traditions and documents the Appalachian experience in connection with major historical events : the Great depression, the New Deal, The WPA, the Tennessee Valley Authority, stip mining, the migration of mountain people to the mid-West and LBJ's war on poverty. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+6494"">DVD 6494Ж","U.S. History"
"The Atlantic Charter: The End of Colonialism","Examines the Atlantic Charter, a joint declaration by Franklin Roosevelt and Winston Churchill, that gave hope to nationalists living in embattled Europe and in colonial possessions around the world. Includes research asserting that the Charter accelerated Hitler's plans for the ""final solution"" and influenced Japan's decision to bomb Pearl Harbor. Includes commentary by Elliott Roosevelt, Douglas Brinkley and historians Arthur Schlesinger Jr., Richard Rathbone, Chandrika Kaul, Theodore Wilson, and Tobias Jersak. 2002. 57 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+2030"">DVD 2030Ж","U.S. History"
"The Atomic Cafe.Ж","A documentary exploration of the United States government's propaganda promoting the atomic bomb. Relies on film clips of the 1940's and 1950's, including musical hits and training films. 92 min.  (See Also: Ѭ href=""#PublicShelter"">Public ShelterЖ CD-ROM)

Related web sites:
â€¢149;Ѭ href=""http://www.publicshelter.com/main/index.html"">Public Shelter web siteЖ

","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+1025"">Video/C 1025Ж","U.S. History"
